,가수,제목,가사
0,박진영,너의 뒤에서,"어제는 비가 내렸어
너도 알고 있는지
돌아선 그 골목에서 눈물이
언제나 힘들어 하던
너를 바라보면서
이미 이별을 예감
할 수가 있었어
너에겐 너무 모자란
나란 걸 알고 있기 때문에
지금 떠나는 널 나는
잡을 수 없는거야
넌 이제 떠나지만 너의
뒤에 서있을거야
조금은 멀리 떨어져서
조금도 부담스럽지 않게
이제 떠나는 길에 힘들고
지쳐 쓰러질 때
조금도 기다리지 않고
나에게 안기어 쉴 수 있게
너의 뒤에서
언젠가 또 다시 내가 필요
할지도 몰라
나의 사랑이 나의 손길이
또 다시 오오오
표정 없는 아픔의 나를
너는 많이도 미워하겠지
돌아선 너의 눈가에 고인
눈물을 알까
넌 이제 떠나지만 너의
뒤에 서 있을거야
조금은 멀리 떨어져서
조금도 부담스럽지 않게
이제 떠나는 길에 힘들고
지쳐 쓰러질 때
조금도 기다리지 않고
나에게 안기어 쉴수있게
너의 뒤에서"
1,신화,중독,"소리 없이 어둠이 날 감싸주려 하지만
오 난 그녀의 빛이 되고 싶어
지는 노을을 잡으려 잡으려 애써도 안 되는걸

제발 나의 그녀가 어둠을 무서워해요
날 이 밤을 밝혀줄 햇빛이 되게 해주세요

그녀 곁에서라면 무엇이든 되도 좋아요
핸드백 손수건과 따뜻한 코트
립스틱 그녀 구두까지도

그녀 곁에 있다면 소중한게 될 수 없어도
난 정말 행복해요 가로등이라도
그녀 오는 길을 볼 수 있다면 오-

Girl You the flyiest 34 24 35에
완벽한 뒷모습을 보네
허나 그녀 가는 길은 정반대
I'm a turn back then

하늘에 별이라도 다 따다줄게
니가 원하는 것 다 내가 줄게
눈감아도 보일수 밖에 내가 너를 첨 봤을때

아직도 모자란 것들만 생각이 나는 거죠
그녈 위해 난 난 해준 것이 아무것도 없어요
세상의 반을 가진다해도
내가 그녀 곁에 없다면 의미도 없는 것일 뿐

그녀 곁에서라면 무엇이든 돼도 좋아요
핸드백 손수건과 따뜻한 코트
립스틱 그녀 구두까지도

그녀 곁에 있다면 소중한 게 될 수 없어도
난 정말 행복해요 가로등이라도
그녀 오는 길을 볼 수 있다면

내일 아침엔 해가 뜰 거예요 그녀가 원하니까요
환한 미소보다 예쁜 건 없겠지만
(그래요 난 난 매일 그녀를 위해서 기도했죠)

하지만 난, 아픈걸요 나의 그녀가
내 이름조차 모른채 살아가요 어떻게 하나요

그녀 곁에서라면 나는 무엇이든 좋아
내 하루를 너와 보낼 수 있다는 것만으로 난 좋아
앞이 보이지 않을 만큼 캄캄할 때
무서워마 내가 빛이 될게
혼자라고 너 생각 들 때 주위를 봐 I'm a here 4you

그녀 생각으로 난 하루하루 살수 있죠
내 마음과 영혼까지 가져간 사람
오직 그녀만이 전부죠

그녀 곁에 있다면 누구라도 되고 싶어요
친구도 아빠라도 선생님이라도
그녈 사랑한단 말할 수 있게

그녀 곁에서라면 무엇이든 돼도 좋아요
핸드백 손수건과 따뜻한 코트
립스틱 그녀 구두까지도

그녀 곁에 있다면 소중한 게 될 수 없어도
난 정말 행복해요 가로등이라도
그녀 오는 길을 볼 수 있다면

그녀 곁에서라면 -"
2,포지션,그 아픔까지 사랑한거야,"너를 처음 만난 날
소리 없이
밤새 눈은 내리고
끝도 없이
찾아드는 기다림
사랑의 시작이었어
길 모퉁이에 서서
눈을 맞으며
너를 기다리다가
돌아서는 아쉬움에
그리움만 쌓여도
난 슬프지 않아
눈 내리고 외롭던
밤이 지나면
멀리서 들려오는 새벽 종소리
혼자만의 사랑은
슬퍼지는 거라
말하지 말아요
그댈 향한 그리움은
나만의 것인데
외로움에 가슴 아파도
그 아픔까지 사랑한거야

눈 내리고 외롭던
밤이 지나면
멀리서 들려오는 새벽 종소리
혼자만의 사랑은
슬퍼지는 거라 말하지 말아요
그대 향한 그리움은
나만의 것인데
외로움에 가슴 아파도
그 아픔까지 사랑한거야
그 아픔까지 사랑한거야"
3,에피톤 프로젝트,유채꽃,"푸른 바다 제주의 언덕
올레길마다 펼쳐져 있는
그리움을 따라
무얼 찾으러 이 곳에 온 걸까
너는 혹시 알고 있니
얼마나 더 걸어야 할까
비 바람 불고
모진 계절이 힘겨울 때마다
가만히 나를 안아주던 네게
다시 기대어도 되니
사랑스런 노란 꽃들은
파도 소리와 바닷 바람을
끌어안고서
다시
그들의 노래 들려주려고 해
너도 같이 들었으면 해

사랑스런 노란 꽃들은
파도 소리와 바닷 바람을
끌어안고서
다시
그들의 노래 들려주려고 해
너도 같이 들었으면 해

나는 여기에 있을게"
4,Various Artists,그 아픔까지 사랑한거야,[가사 준비중]
5,전상근,안녕...,"잘 지내니 요즘에 넌
내가 알던 니 모습
웃음이 많았던 넌
그대로니 난 자꾸만
생각에 잠겨
행복했었던 날들
추억 속에 머물러
감은 두 눈에 그려진
작은 니 손을 잡고 있는 나
그렇게 자라난 너는
내게 스며들어 물들어
보고 싶은 맘이 차올라도
참아볼게 안녕
하나하나 선명하고
손길 닿는 곳마다 네가 있어
꿈같은 시간들
난 지울 수조차 없어
내겐 충분했었고 빛났었던 너
감은 두 눈에 그려진
작은 네 손을 잡고 있는 나
그렇게 자라난 너는
내게 스며들어 물들어
보고 싶은 맘이 차올라도
참아볼게 안녕
이 세상 어딘가 숨 쉬는 니가
나를 혹 그리워한다면
감은 두 눈에 눈물이
번져 조금씩 흐려져
그렇게 자라난 너는 내게
뒤엉키고 몰아쳐도
돌이킬 순 없어 우린
차마 눈을 뜰 수조차 없어
매일 추억 속에 살아가 난
그리움이 커지면
가끔 그저
널 떠올리며 그려볼게
잘 지냈으면 해
걱정은 마 이젠 정말 안녕
우 우 안녕"
6,승관 (SEVENTEEN),어떤 사랑,"그 사람의 비밀을 묻지마
단 한 번의 마음 눈빛
그 것만 알면 돼
처음 만나서 웃었던 날
별은 거기 늘 있는 걸 알았지
널 버리고 세상 어떤 걸 가져도
행복하지 않다는 걸
지나 갈 때 긴 한숨의 방
두 손을 뻗어봐 잡아봐 무엇도
다 두렵지 않아
그 사랑의 흔적을 찾지마
온 가슴에 새긴 네 이름이 다야
그 걸로 충분해
밤 하늘 비추는 별 빛은
그렇게 기억하지
소리 없던 웃음
처음 만나서 웃었던 날
별은 거기 늘 있는 걸 알았지
널 잃고서 세상 어떤 걸 가져도
행복할 수 없다는 걸
흘러갈 때 긴 어둠의 강
서로를 안아봐 느껴봐 누구도
다 견딜 수 있어
그 사랑의 끝에서 흐르는 눈물
온 마음에 담긴 그림자를 쫓아
이름을 불러줄게
시간이 흘러도 별 빛은
그렇게 떠올리지
웃음 짓던 얼굴"
7,이성경X이루리,여름밤 바다,"반짝이는 해가 없어도 좋아
네 목소리가 더 잘 들리니까
왠지 여름밤은 잠들기 싫어
아침이 빨리 찾아오잖아
아쉬운 마음이 커
바람이 만든 파도 소리
더 듣고 싶어서
눈을 감는다
여름밤 밤바다
짙은 어둠 속
너의 모습을 떠올려본다
바다
너와 함께 해서 소중한
모든 순간이 좋아
바람
내 귓가에 스쳐
여름 바다의 기억
속삭여
이 밤의 끝까지
깊은 밤 하늘의 별빛이 좋아
밤하늘 아래 너를 비춰주니까
왠지 여름밤은 잠들기 싫어
밤하늘이 더 눈부시잖아
네 눈가에 비치는
바다가 담긴 하늘 아래
더 담고 싶어서
눈을 맞춘다
여름밤 밤바다
짙은 어둠 속
너의 모습이 더 깊어진다
바다
너와 함께 해서 소중한
모든 순간이 좋아
바람
내 귓가에 스쳐
여름 바다의 기억
속삭여
이 밤의 끝까지
우리가 머물던 바다
우리가 맞았던 바람
밤하늘이 내게 쏟아지던 여름
여름밤 바다
여름밤 바다
여름밤 바다"
8,디에이드 (The Ade),변했어,"너 참 변했어
점점 더 말이 없어져
나만 알던 너의 눈엔
이젠 내가 안 보여
왜 날 피하는데
바빠진 거 아는데
언제부턴가 네 일들이
나보다 더 중요해진 것만 같아서
나를 바라보던 눈빛이 변했어
나를 안아주던 포근했던 네 품이
다 변했어 달라졌어
나를 불러주던 따뜻한 목소리가
언젠지 기억이 안 나
바보처럼 나만 알던 네가 그리워
내 손 꼭 잡고
어디든 함께 다니던
참 서툴러도 설레었던
그날들이 좋았어
영원이란 건
없다는 걸 알지만
언제부턴가 네 옆의 내가
너무나 당연해진 것만 같아서
나를 바라보던 눈빛이 변했어
나를 안아주던 포근했던 네 품이
다 변했어 달라졌어
나를 불러주던 따뜻한 목소리가
언젠지 기억이 안 나
바보처럼 나만 사랑했던
둘만으로 세상이 가득했던
사랑 하나로 충분했던
그때의 우리가 부러워
나만 사랑한단 약속도 변했어
내가 그렇게도 믿어왔던 모든 게
다 변했어 다 끝났어
다시 돌아갈 수 없는 그때 우리가
너무나 그리워도
이젠 나 너를 놓아줘야 하나 봐"
9,호피폴라,소랑,"차가웠던 공기 그리고 저 강물 소리
그때나 지금이나 내겐 버거운 당신
음 참 향기롭군요
비릿한 물 냄새 그 옆에 미소 띤 당신
그때나 지금이나 내겐 버거운 당신
음 난 바보 같군요
여기 이 기쁨과 슬픔을
내 품 안에 꼭 안고서
아쉬운 그대 뒷모습이
조금씩 희미해질 때까지
여기 이 기쁨과 슬픔을
내 품 안에 꼭 안고서
아쉬운 그대 뒷모습이
조금씩 희미해질 때까지
조금씩 희미해질 때까지
조금씩 희미해질 때까지"
