,artist_name,song_name,lyric
0,HUS (허밍어반스테레오),커피 한잔 어때? (Feat. 요조),"난 말야 크림 가득 담겨있는
커피 한 잔과 너만 곁에 둘래
나른한 날엔 더욱 생각이 드는
그런 나의 위로이니까
나의 위로이니까
햇살 가득 몸에 받아 손을 뻗으면
하늘위로 나는 느낌도 들 테지
네가 이런 내 곁에서
입맞추면 더 좋을 거야
머리 속 하얗게 지워져도 난
좋을 거야
그냥 밤을 세울 수도 있을 거야
볼그라진 네 뺨 아름다워
나와 행복해 질 거야

라라라라라라라라라
라라라라라라라라라
스파라밥 스파라밥 스파라밥
스파라밥 스파라밥 스파파라
스파라밥 스파라밥 스파라밥
스파라밥 스파라밥 스파
쇼꼬라 캬라멜은
너보다도 달콤하지만
너만 필요해
나른한 날엔 더욱 생각이 드는
그런 나의 위로이니까
나의 위로이니까
햇살 가득 몸에 받아 손을 뻗으면
하늘위로 나는 느낌도 들테지
네가 이런 내 곁에서
입 맞추면 더 좋을 거야
머리 속 하얗게 지워져도 난
좋을 거야
그냥 밤을 세울 수도 있을 거야
볼그라진 네 뺨 아름다워
나와 행복해 질 거야
우린 맺어질 수 밖에 없는 거야
처음부터 우린 하나니까
나와 행복해 질 거야
나와 커피한잔 어때"
1,이은미,너는 아름답다,"그래 지금에야 알겠다
손가락을 접듯이
하나씩 쌓아 마음속에 묻으면
아무는 게 상처구나
그래 이제서야 알겠다
한번쯤은 몹시 흔들려
어떻게 다시 너를 찾을지
모를 때도 있겠구나
쉽지 않던 하루가
수 많은 오늘이 후회더냐
그럼 조금 기다려봐
다시 뜨거운 가슴이 될 때까지
그 누구도 너보다 빛날 수는 없단다
지금 너의 모습이 너여서 아름답다
지금에 이 미련이
아픈 시간들이 붙잡더냐
그럼 조금 기다려봐 다시
뜨거운 가슴이 될 때까지
그 누구도 너보다 빛날 수는 없단다
지금 너의 모습이 너여서 아름답다
그 누구도 너처럼
빛날 수는 없단다 oh
지금 너의 그 모습들은
너여서 아름답다
나여서 아름답다"
2,로코베리,Sometimes,"어쩌면 난 아직인지 몰라
내게 해당되지 않던
수많은 이별 노래
어쩌면 난 미련인지 몰라
우리 사랑 지지 않는 꽃 같아
괜찮은 척 날 바라봐주는
낯선 네 슬픔에
눈을 감아
sometimes you
sometimes me
그때가 생각나
푸르르던 너와 나의 처음이
노을 지듯 안녕
결국엔 우리
스쳐가듯 지나가듯 사라져
하나 둘 셋
너와 나의 거리
언제부턴가 알고 있던 거니
사랑의 시선들까지 이젠
모른 척 눈감아야 하는 거니
sometimes you
sometimes me
그때가 생각나
푸르르던 너와 나의 처음이
노을 지듯 안녕
결국엔 우리
스쳐가듯 지나가듯 사라져
해가 지듯 결국 저물은
우리의 사랑얘기
끝나버렸나
안녕 안녕 안녕 안녕
고마웠어 정말 잊지 않을게"
3,남혁,잘가,"안녕 잘 지냈어
시간 참 빠르게 간다 정말 참
어떻게 지냈어
오늘따라 왜 이렇게도
날씨는 좋은 건지
음
무슨말을 먼저 할까
음
많이 생각했는데
우리 헤어지자
이제 그만 하자 그게 좋을 것 같아
시간 더 끌면
그게 더 아파
이제 더 이상 미련 갖지도 말고
여기까지만
힘들겠지만
잘가
정말 많이 고민 했어
시간이 필요한 건지 아닌지를
오랫동안 망설 였어
니가 없는 세상은
왠지 낯설 것 같지만
내가 먼저 말을 할게
음
많이 생각했는데
우리 헤어지자
이제 그만 하자 그게 좋을 것 같아
시간 더 끌면
그게 더 아파
이제 더이상 미련 갖지도 말고
여기까지만
힘들겠지만
잘가
매일밤 우리는
이별이란 단어를
미뤘는지 몰라
시간이 지나고
많은 것이 변해도
아프지 말고
밥도 잘 먹고
이제 더 이상 눈물 짓지도 말고
아프지 말고
밥도 잘 먹고
잘가"
4,이수영,시작되는 연인들을 위해 (Duet With 이정봉),"니가 아침에 눈을 떠
처음 생각나는 사람이
언제나 나였으면 내가 늘 그렇듯이
좋은것을 대할때면
함께 나누고픈 사람도
그 역시 나였으면 너도 떠날테지만
그래 알고있어 지금 너에게
사랑은 피해야할 두려움 이란걸
불안한듯 넌 물었지
사랑이 짙어지면
슬픔이 되는걸 아느냐고
하지만 넌 모른거야
뜻 모를 그 슬픔이
때론 살아가는 힘이 되어주는걸

네가 힘들어 지칠 때
위로 받고싶은 사람이
바로 내가 됐으면 내가 늘 그렇듯이
너의 실수도 따뜻이
안아줄꺼라 믿는사람
바로 내가 됐으면 너도 떠날테지만
그래 알고있어 지금 너에게
사랑은 피해야 할 두려움 이란걸
불안한듯 넌 물었지
사랑이 짙어지면
슬픔이 되는걸 아느냐고
하지만 넌 모른거야
뜻 모를 그 슬픔이
때론 살아가는 힘이 되어
하지만 넌 모를꺼야
뜻모를 그슬픔이 때론 살아가는 날
살아가는 힘이 되어주는걸

이제는 너무 걱정하지는마
한때는 나도 너만큼
두려워 한적도 난 많았으니
조금씩 너를 보여줘
숨기지마 내가 가까이 설수 있도록"
5,신혜성,Buen Camino (Feat. 강수지),"Good morning 너는 어디에서
이 아침을 맞이 하는지
언제나 반복되는 그리움의 시작
눈을 감으면 다 생각나

Good evening 너는 어디에서
이 하늘을 보고 있는지
니가 항상 보여줬던 smile 그 모든 꿈이
노을 속에 아직 그대로

참 많은 시간이 스쳐갈 지라도
함께 했었던 추억들로 살아갈 우리

Buen Camino 어디로 너 떠나가든
외로워도 울지 말고 다시 또 만나
Buen Camino 내게로 돌아 올 땐 떠나지 말아줘
그땐 Never say Good-bye

Good night kiss 가득 담긴 Moon light
누가 보낸 선물인건지
니가 항상 들었던 한밤의 라디오엔
우리 노래가 흘러나와

이 넓은 세상을 다 돌아온데도
함께 있었던 그 자리로 올 걸 알기에

Buen Camino 어디로 너 떠나가든
외로워도 울지 말고 다시 또 만나
Buen Camino 내게로 돌아 올 땐 떠나지 말아줘
그땐 Never say Good-bye

너무 멀리 와서 미안해 여긴 너무나 쓸쓸해
괜찮아 난 그저 널 기다릴뿐야
영원히 사랑할 그 날이 다가오잖아

Buen Camino 세상끝 어디 있든지
아프거나 힘들어도 그때까지만
Buen Camino 내게로 돌아 올 땐 (돌아 갈 땐)
떠~나지 말아줘 그땐 (그땐)
never say Good-bye -"
6,박미경,민들레 홀씨되어,"달빛 부서지는
강뚝에 홀로 앉아 있네

소리 없이 흐르는
저 강물을 바라 보며

가슴을 헤이며 밀려오는
밀려오는 그리움 그리움

우리는 들길에 홀로 핀
이름 모를 꽃을 보면서
외로운 맘을 나누며
손에 손을 잡고 걸었지
산등성이의 해질녘은
너무나 아름다웠었지
그 님의 두 눈 속에는
눈물이 가득 고였지
어느새 내 마음 민들레 홀씨 되어
강바람 타고 훨훨 네 곁으로 간다

산등성이의 해질녘은
너무나 아름다웠었지
그 님의 두 눈 속에는
눈물이 가득 고였지
어느새 내 마음 민들레 홀씨 되어
강바람 타고 훨훨 네 곁으로 간다
어느새 내 마음 민들레 홀씨 되어
강바람 타고 훨훨 네 곁으로 간다"
7,노을,나무,"떠날수가 없어요 이 자리에 서서
뿌리 내린 굵은 나무처럼
그대 떠난 곳에서 한 걸음만
움직여봐도 발이 아파와요

계절이 아무리 나를 지나도
내 가지조차 꺾지 못하죠
언젠가 그대 돌아오는 언젠가
다시 나를 찾는 언젠가 반드시 올 그날

날 찾을수 있게 내 두팔을 더 벌리고
대지를 굳게 딛고 그댈향해 난 자랄 거예요

눈물이 날 때마다 니 안으로 가듯
삼켜봐도 내게 물을 주듯
우리 추억도 내게 한 여름의 햇살과 같죠
날 자라나게 하죠

그대 뒤를 따라걷진 못해도
그대 쉴 그늘을 준비하죠
언젠가 그대 돌아오는 언젠가
다시 나를 찾는 언젠가 반드시 올 그날

날 찾을 수있게 내 두팔을 더 벌리고
대지를 굳게 딛고 그댈 향해 난 자랄 거예요
목을 죄는 타는 여름도
살을 에는 겨울바람도
난 견딜 거예요 이 자리에 서서 - 

믿어요 그대 돌아오길 믿어요
내게 다시올걸 믿어요
누구도 이 믿음 빼앗을 순 없죠
핏줄이 마르기전에 심장이 뛰는 한은
믿을게요 돌아오기를
기다려요 이 자리에 서서 -"
8,The One (더원),기다리는 사랑,"미안해 너를 잊지 못해서

아직도 모르는 바보라서

니 앞에 멈춰버린 나의 시간도
이젠 내가 살아가는
이유일테니까
눈물만 주는 니가 미워서

상처만 주는 니가 싫어서
그래도 너를 믿고 기다리는 게
내가 사랑하는 방법일테니까
지친 내 가슴 속에
내리는 기억
추억에 멈춰서
지워지지 않는 사랑
우리 돌아서는 이길
또 혼자 남은 사랑
멀어져가는 너를
감당하지 못한 채
너만 원하는 나라고
너만 사랑한게 나였다고
눈물만 한 없이
눈물만 흐르는 나

혼자선 너를 품고 걸어가는 길
기억이 멈춰서
멀어지지 않는 사랑
다시 걸어가는 이 길
난 혼자 남은 사랑
멀어져가는 너를
감당하지 못한 채
너만 바랬던 나라고
너만 사랑한게 나였다고
눈물만 한 없이 눈물만
흐르는 나
천번 만번을 써봐도
나 살게 하는 사람
너 밖에 없는 거니
다시 돌아올거라고
절대 너여야만 난 된다고
한숨만 내 곁에
한숨만 나오는 날

아직 기다리는 사랑 나라고"
9,SG 워너비,사랑가 (With 바이브),"사랑하는데 무슨 이유 있나요
사랑하는데 무슨 조건 있나요
그댈 사랑하는데
정말 사랑하는데 My love
내가 곁에 있는데
그댄 어디 있나요
그대 곁에 있는데
대체 어디 있나요
My love My love
My love My love
대답없는 사람아
이 못난 사람아
내 사랑아 내 사랑아
이 아픈 가슴은 이제
나더러 어쩌란 말야
이 아픔아 이 슬픔아
이 아픈 가슴을 어쩌란 말야
내 사랑아

내가 곁에 있는데
그댄 어디 있나요
그대 곁에 있는데
대체 어디 있나요
My love My love
My love My love
눈물없는 사람아
이 못난 사람아
내 사랑아 내 사랑아
이 아픈 가슴은 이제
나더러 어쩌란 말야
이 아픔아 이 슬픔아
이 아픈 가슴을 어쩌란 말야
My love My love My love
이것만 기억해 줘요
세상 끝날이 와도
내가 함께 있음을
내 사랑아 내 사랑아
이 아픈 가슴을 이제
나더러 어쩌란 말야
이 아픔아 이 슬픔아
이 아픈 가슴을 어쩌란 말야
내 사랑아

내 사랑아 내 슬픔아
내 사랑아"
10,김연우,행복했다...안녕,"한 사람이 나를 떠난다
자꾸 내게 잊으라한다
그 사람이 눈물 흘린다
너무나 미안하게도 눈물 흘린다
차마 배웅도 못할 길이라
가는 뒷모습 지켜본다
떨려오는 입술로 들리지 않게
인사를 한다
잘 가 내 아름답던 사람아
이별 앞에도 눈부신 나의 사람아
심장처럼 가슴에 뛰고 있던 숨결이
그대였기에 언제나 행복했다 안녕
나를 떠나 행복하기를
다신 아파하지 말기를
미안하다 말 절대
하지말기를 바래본다
잘가 내 아름답던 사람아
이별 앞에도 눈부신 나의 사람아
심장처럼 가슴에 뛰고 있던 숨결이
그대였기에 언제나 행복했다 안녕
잘가 내 하나뿐인 사람아
죽는 날까지 못 잊을 나의 사람아
심장처럼 가슴에 뛰고 있을
숨결이 그대일 테니
눈물을 흘려본다 안녕"
11,허각,오늘만은 말할게,"하루 하루가 너무 빨리 가네요
시간은 멈출 줄도 모르고
이렇게 기다리는 나에요
이 마음이 이 가슴이
얼마나 아픈지
그댄 아직 잘 모르잖아요
잠시도 나는 망설인 적 없어요
내 사랑이 날 다치게 한다 해도
그래도 그대를 더 원해요
단 하루만 그대 곁에
잠들 수 있다면
한 평생을 기다릴 수 있죠
나 오늘만은 말할게
널 사랑한다고
아주 오래 전부터
기다려왔다고
어딘가에 머무는
그대라는 사람이
내 곁에만 있어준다면
좋을 텐데
그댈 위해선 뭐든 할 수 있다고
참고 또 참는 법도
나는 배웠죠
그대 하나만을 바래요
언제라도 어디라도
그대가 있다면
가슴이 터질 만큼 힘껏
달려갈게요
나 오늘만은 말할게
널 사랑한다고
아주 오래 전부터
기다려왔다고
어딘가에 머무는
그대라는 사람이
내 곁에만 있어준다면
너에게 말할게 하루를 살아도
내겐 너 하나면 돼
힘겨웠던 그날의
너를 지킬 수 있게
내 곁에만 있어달라고
오늘은 말할게"
12,신지훈,아프고 아프다,"밥을 먹고 TV를 본다
졸린 눈 비비며 방으로 간다
불을 끄고 뒤척이다
또 네 생각에 하루가 간다
잠이 들면 모두 지워지겠지
외롭고 또 답답한 이 맘도
매일 똑같이 내일도 마치
뭔가 다를 거란 기대만 하지
아프고 아프다
네가 떠나간 후에
슬프고 슬프다
아직 너를 잊지 못해
가끔 들려오는 너의 소식에
한없이 눈물이 흘러
이젠 어떡해야 해 돌아와줘 Boy
하루가 재미없어지네요
매일 난 왜 이리 바보 같나요
나홀로 길을 걷는다
낙엽을 밟는다
너를 지워보려고
나는 또 애써본다
어떡해요 갑자기 바람이 차가워져
아프고 아프다
네가 떠나간 후에
슬프고 슬프다
아직 너를 잊지 못해
가끔 들려오는 너의 소식에
한없이 눈물이 흘러
이젠 어떡해야 해 돌아와줘 Boy
사랑이란 말로도 표현
안 되는 게 있나 봐요
그대는 점점 멀어지고
난 아직 그대론데
미안하단 말로도
되돌릴 수가 없나 봐요
어떡해 어떡해 날 안아줄래
아프고 아프다
네가 떠나간 후에
슬프고 슬프다
아직 너를 잊지 못해
가끔 들려오는 너의 소식에
한없이 눈물이 흘러
이젠 어떡해야 해 돌아와줘 Boy"
13,디셈버,눈부신 눈물,"우리 다시 사랑하게 된다면
그땐 조금만 떨어져 걸어요
그댈 사랑하는 마음이
내 심장 옆에 붙어서
혼자 걷지 말래요
그댈 데려오래요
우리 다시 사랑하게 된다면
너무 서로만 바라 보지는 말아요
눈부셔 흐르던 미소가
눈물이 되어 내려요
다신 그대 두 눈은
마주 할 수 없는데
하루도 그대 없이 사는 건
생각해 본적 없어서
오늘이 마지막인 것처럼
그댈 사랑해야 했어
사랑을 잘 몰라서
아니 나밖에 몰라서
아픈 가슴으로 배우나 봐
이별 뒤에
우리 다시 사랑하게 된다면
사랑한단 말 아끼지 말기로 해요
부끄러워 자주 못한 말
입술에 자꾸 맴돌아
혼자 되뇌이네요
더는 그대 없는데
하루도 그대 없이 사는 건
생각해 본적 없어서
오늘이 마지막인 것처럼
그댈 사랑해야 했어
사랑을 잘 몰라서
아니 나밖에 몰라서
시린 가슴으로 배우나 봐
바보처럼
저 너머에 그대 있나요
내 사랑이 그댈 울리나요
가끔 바람 되어 내 어깨를 스치며
위로 하나요
문득 눈물 멈추면
그대 다녀간 거겠죠
우리가 다시 사랑한다면
많은 사랑 주진 마요
그대가 주고 간 그 사랑이
죽을 만큼 그리워요
우리 사랑한다면
다시 사랑하게 되면
그땐 이렇게 떠나지 마요
가지 마요
저 하늘에 부탁해요
이말 전해주길 사랑합니다"
