,가수,제목,가사
0,지아,가을타나 봐 (Duet. 홍대광),"니가 없는 이 계절
외로움이 길어져
옷깃을 여미고
거리를 걸어도
시려지는 가을인가 봐
가을인가 봐
낙엽이 발끝에 닿아
내 맘 같이 부서질까 봐
조심스럽게 걸음을 옮길 때
왜이리 눈물이 흐르는지
가을타나 봐
뚜룻 뚯뚜뚜
니가 떠올라
뚜룻 뚯뚜뚜
떨어지는 낙엽들처럼
눈물이 따라 떨어져
우우우 우우우
너뿐이란 말
뚜룻 뚯뚜뚜
너를 만나서 하고 싶어서
아직도 나 혼자 남아서
널 기다리고 기다려
우우우 우우우
긴 시간이 지나서
추억들이 흐려져
더 늦지 말라는
꼭 돌아오라는
메세지를 썼다 지우고
썼다 지우고
겨울이 미뤄지기를
이 가을이 길어지기를
추워지는 게
싫다던 널 위해
공기가 차갑지 않았으면
가을타나 봐
뚜룻 뚯뚜뚜
니가 떠올라
뚜룻 뚯뚜뚜
떨어지는 낙엽들처럼
눈물이 따라 떨어져
우우우 우우우
너뿐이란 말
뚜룻 뚯뚜뚜
너를 만나서 하고 싶어서
아직도 나 혼자 남아서
널 기다리고 기다려
우우우 우우우
언젠가는 온다는
니 목소리를 들을 수만 있다면
점점 쉽지 않은 일
잊지 않는 일
잘 할 수 있는데
사랑하나 봐
뚜룻 뚯뚜뚜
니가 생각나
뚜룻 뚯뚜뚜
바람처럼 나를 스쳐가
어디로 떠나갔을까
우우우 우우우
사랑하잔 말
뚜룻 뚯뚜뚜
너를 안고서 하고 싶어서
오늘도 나 혼자 남아서
널 기다리고 기다려
우우우 우우우
허전한 내 가슴을
무엇으로 채울까
나 가을타나 봐
허 허"
1,태연 (TAEYEON),When I Was Young,"Wo Babe Ooh
이제 어쩌죠 난 안돼요
아무리 불러도 돌아오질 않아
혹시 그때 진작 우리 멈췄더라면
더 좋았을지도 몰라 기억하나요
When I When I was young 그때
내가 그대고 그대가 나일 때
When I When I was a fool 정말
아무도 모르고 그대만 알 때
어땠나요 괜찮았나요
믿기지 않죠 마지막이래
우리 나눈 말들 지워지지 않아
혹시 그때 서로 많이 알았더라면
더 좋았을지도 몰라
When I When I was young 그때
내가 그대고 그대가 나일 때
When I When I was a fool 정말
아무도 모르고 그대만 알 때
어땠나요 기억하나요
많이 어렸었잖아요
우리 서툴렀잖아요
아직 어제 일만 같아 Ooh
많이 힘들었나요 내가 그대고
그대도 나일 때 우리 하나일 때 Ooh
When I When I was young 그때
내가 그댈 그대가 날 Ooh
When I When I was a fool 정말
그대만 바랬던 그런 나였을 때
어땠나요 기억해줘요"
2,젬스톤,지금 부른 이 노래,"참 힘들었지
잘 지내고 있었니
남들 다하는 사랑 이별도
사치였던걸
그 한마디 말
입에서만 맴돌던
속삭이듯이 전한 너의 그 안녕이
내겐 젤 아픈 말
지금 너는 어디에 있니
이젠 이 노래를 줄 수 있는데
기억하니 우리 이야기
너를 위해 만들었던
이제는 불러 줄 수 있는데
난 여기에 있어
네가 있던 그 자리
텅 빈 방 안에 남은 우리의 추억이
이젠 너무 아파
지금 너는 어디에 있니
이젠 이 노래를 줄 수 있는데
기억하니 우리 이야기
너를 위해 만들었던
이제는 불러 줄 수 있는데
솔직히 말해서 나
자신이 없어져
너에게 다 잊혀지는게
아주 멀리 가버린 거니
이젠 이 노래를 줄 수 있는데
그래 거기에 거기까지만 가 너만큼은
이 노랠 기억할 수 있도록
지금 부른 이 노래"
3,엠씨더맥스 (M.C the MAX),사랑은 아프려고 하는거죠 (2007 New Ver.),"눈부신 햇살이 밤하늘에 뜨면
그때는 우리 둘 이별해도 돼요
저 모든 별이 사라지면 잊을 수 있겠죠
내 눈물이 모여 바다가 되는 날
그때는 내 마음 변할 수도 있죠
한 여름날에 눈이 오면 보내줄 수 있죠
사랑해 사랑해 사랑해 사랑해..
살아 있단 건 아픈 거겠죠
사랑이란 아프려고 하는 거죠
그대 없이 사는 법 나는 알지 못해서
하루 더 조금 더 오늘 더 그댈 사랑할께요

사랑해 사랑해 사랑해 사랑해..
살아 있단 건 아픈 거겠죠
사랑이란 아프려고 하는 거죠
그대 없이 사는 법 나는 알지 못해서
하루 더 조금 더 오늘 더 그댈 사랑할께요
사랑하는게 왜 죄가 되나요
내 마음만은 마음대로 안되죠
나 잘한 거라고 잘 보낸 거라고
또 내가 나를 위로하고
미워하고 기다리고 울어요
듣고 있나요 이 노랠 빌려
힘들다고 와달라고 떼써봐요
다시 엇갈린대도 더욱 아파진대도 괜찮죠
이 하늘 아래 변한 건 없죠
태어나고 태어나도 그대겠죠
그댈 돌아서는 법 나는 알지 못해서
하루만 조금만 오늘만 그댈 기다릴께요 -"
4,유리상자,숙녀에게,"어쩌면 처음 그 땐
시간이 멈춘 듯이
미지의 나라 그 곳에서
걸어온 것처럼
가을에 서둘러온
초겨울 새벽녁에
반가운 눈처럼 그대는
내게로 다가왔죠
그대의 맑은 미소는
내 맘에 꼭 들지만
가끔씩 보이는 우울한
눈빛이 마음에 걸려요
나 그대 아주 작은
일까지 알고 싶지만
어쩐지 그댄 내게 말을 안해요
허면 그대 잠든 밤
꿈 속으로 찾아가
살며시 얘기 듣고 올래요

그대의 맑은 미소는
내 맘에 꼭 들지만
가끔씩 보이는 우울한
눈빛이 마음에 걸려요
나 그대 아주 작은
일까지 알고 싶지만
어쩐지 그댄 내게 말을 안해요
허면 그대 잠든 밤
꿈 속으로 찾아가
살며시 얘기 듣고 올래요
나 그대 아주 작은
일까지 알고 싶지만
어쩐지 그댄 내게 말을 안해요
허면 그대 잠든 밤
꿈 속으로 찾아가
살며시 얘기 듣고 올래요"
5,가비엔제이,왜 그렇게 여자를 몰라,"홧김에 그만 끝내자는말
나도 모르게 해버렸어
알잖아 나 원래 그런거
얼굴만 봐도 잘 알잖아
그래 그러자 잘 지내란 말
한마디하며 돌아선 너
난 말야 그럴줄 몰랐어
전화조차 안하잖아
우리 끝났니 정말 남이니
사랑할 날도 부족한 우린데
달려와 금방이라도 날
안아주면 다 풀릴거잖아
왜 그렇게 여자를 몰라
정말 가라고 가니 바보야
내 맘을 왜 몰라
미안하단말 그말이면 되는데
이러다가 널 잃을까봐
우리사랑도 다 놓칠까봐
그게 난 두려워
나만 사랑할 사람
바로 너란걸 아니까

너무 겁이나 자꾸 열이나
아파 움직일 힘조차 없잖아
달려와 금방이라도
날 안아주면 다 풀릴거잖아
왜 그렇게 여자를 몰라
정말 가라고 가니 바보야
내 맘을 왜 몰라
미안하단말 그말이면 되는데
이러다가 널 잃을까봐
우리사랑도 다 놓칠까봐
그게 난 두려워
나만 사랑할 사람
바로 너란걸 아니까
새로운 사랑하지마
너무 가슴이 아파
내겐 너밖에 없는걸 알잖아

사랑한다면 돌아와줘
사랑한다면 날 붙잡아줘
그래도 여잔데
니가 먼저 날 안아줘야 하잖아
이제 다시는 안할거야
상처주는 말도 안할거야
니가 난 필요해
너만 있어주면되
내말 들리면 돌아와"
6,지아,가지 말아요,"살살 해줘요 이별이 많이 아파요


아무리 미워도 아무리 싫어도 내 생각 조금만 해주세요


가지 말아요 견딜 수 없이 아파요


숨이 턱 막혀서 난 주저앉아서 두 손으로 그대에게 빌죠





사랑해 사랑한다고 내 말이 안 들리냐고


소리를 질러도 한참을 불러도 떠나가네요 멀리멀리


어떻게 내게 이래요 나한테 왜 이러나요


나를 봐요 그대 없으면 하루도 못 살아요








가지 말아요 상처가 너무 깊어요


낫지도 못하게 잊지도 못하게 날 아프게 버려야 하나요





사랑해 사랑한다고 내 말이 안 들리냐고


소리를 질러도 한참을 불러도 떠나가네요 멀리멀리


어떻게 내게 이래요 나한테 왜 이러나요


나를 봐요 그대 없으면 하루도 못 살아요








정신을 잃을 만큼 울고 울고 또 울어도


왜 돌아보지 않나요








미안해 미안하다고 내가 다 잘못했다고


발목을 잡아도 더 매달려봐도 끝난 건가요 우리 우리


어떻게 내게 이래요 나한테 왜 이러나요


부탁해요 시간을 줘요 더 사랑할 수 있게


시간을 줘요 제발"
7,오윤혜,그래서 그대는,"나는 나에게 길들여 지길 바래요
그 동안 그댈 너무 많이
닮아있었나봐요
지워질 때도 됐는데
그댄 또 누군가에게 길들었나요
혹시 그 사람 예전 나완
많이 틀린 가봐요
그래서 그대는 날 잊고 사는지
내 아름다운 사람아
여전히 나는 네 모습인데
또 다른 사랑 배워갈 그대 가슴에
내 작은 기억 하나만
내 눈물 나는 사랑아
같은 아픔에 머물 수 있게
다른 이별에 울어도 내 품 안에서
그 마음 아물게 해요
내가 아닌 그댄 행복한가요
혹시나 내 이름 벌써 잊었나요
내 아름다운 사람아
여전히 나는 네 모습인데
또 다른 사랑 배워갈 그대 가슴에
내 작은 기억 하나만
내 눈물 나는 사랑아
같은 아픔에 머물 수 있게
다른 이별에 울어도 내 품 안에서
그 마음 아물게 해요"
8,뱅크,가을의 전설,"가을은 또 다시 찾아와
널 다시 생각나게 해
그렇게 보고 싶던 너를
잊은 줄 알았었는데
함께 걷던 이 거리
새처럼 날던 낙엽의 향기
나도 모르게
그 기억 속으로 혼자 걷고 있어
한 번은 꼭 한 번은
다시 돌아온다는
그 약속을 믿기에
나는 아직 이별을
인정할 수 없어
미안해 하지마
그냥 돌아오면 돼
네가 없는 가을은 내겐
견딜 수 없는 아픔일 뿐야"
9,비,차에 타봐,"가슴이 날 두드려
그대를 잊을수가 없어요
어제 밤도 한마디 말도 없이
나를 떠나 갔고
무슨 칼을 써도 나의 살을 베도
내 피가 너무나도 나는 괜찮아
떼어내고 싶어 심장을
멈추게 하고서
나 못 살겠어 이대로는
니 앞에서 설수 없어
죽지 않을 만큼 내 기억을
내 손으로 끊겠어
you you you you
차에 타봐 얘기 좀 하자
어떻게 나에게 늘 이럴 수 있을까
넌
전화길 꺼놔 제발 받지마
앞으로 아무 말도 그 놈이랑 하지마
너의 향기가 달라 졌구나
그 놈이 줬던 향수 앞으로 뿌리지마
baby 혹시 너
그 자식이 너한테 손댄 거니
말해봐
지금 어디야 XX놈아
내 전화 빨리 받아라
지금부터 내 여자한테
전화하면 죽는다
너 따위 남자가 바라볼 수도
아니 감히 나조차도 바라볼 수 없는
소중한 내 여자 내 여잘 니가
건드렸어
나 못 참겠어 어떻게든
너를 때려야겠어
다신 내 여자 못 보게 오늘 내가
너를 손봐주겠어
you you you you
차에 타봐 일단 맞아야 돼
너 같은 게 감히 내 여자를 왜
아프게 해
전화길 꺼놔 너 그거 아니
난 원래 밑바닥야
잘못 건드린거야
너의 향기 강요하지마
더 이상은 너에게
용서란 없을꺼야 임마
왜 그래 똑바로 쳐다봐
그래야 내가 널
손봐줄 수가 있잖아
그 순간 그 여자는
나 대신 그 놈 얼굴을 붙잡고
울고 소리지르며 어루만지고 있어
순간 머리털이 서고 바보가 되었어
두 눈에 눈물이 눈물이 흘러내려
you you you 이런 거 였니
you you you 나 너무 아프다
차에 타봐
전화길 꺼놔
너의 향기"
