,artist_name,song_name,lyric
0,휘인 (Whee In),그렇게 넌 내게 빛나,"따뜻한 꿈 속에 있나 봐
아직 난 널 바라보고 있어
선명하게 난 느낄 수 있어
혹시 너 꿈에서 깰까 봐
네가 현실에 달아날까
어떤 말도 난 조심스러워
그렇게 너의 곁에 다가가
조용히 나의 맘을 말해볼게
한가지 너의 눈의 진심을 기억해
따뜻한 마음이 난 소중해
그렇게 넌 내게 빛나
오늘이 더 그래
나에게 넌 꿈을 만들어줘
오랫동안 깨지지 않을
그 곳에 난 늘 다시 행복해져
따뜻한 너의 손을 잡아
밤이 새도록 이야기해
시간은 더 우릴 기다려 줘
그렇게 한참 동안을 기대
조용히 나의 맘을 이야기해
한가지 따뜻한 그 말들을 기억해
나에게 준 꿈들을 사랑해
그렇게 넌 내게 빛나
오늘이 더 그래
너의 온도를 느낄 수 있어
아주 가까이 니가 보여
그래서 난 행복할 수 있어
가끔은 너와 나의 거리가
닿지 않을까 두려워져
하지만 눈을 감아보면
그 속엔 온통 너야
내 맘 속엔 온통 너로 가득해
오늘 난 너의 곁에 있을래
따뜻한 너의 맘에 기댈래
이렇게 난 너에게 가
오늘을 기억해
나에게 넌 꿈을 만들어줘
오랫동안 깨지지 않을
그 곳에 난 늘 다시 행복해져"
1,박삐삐,이별없는 이 별에서,"어떤 날에 살며시 내려와
내 어깨에 기대어
속삭여준 밤
날 위로해 준 널
가만히 그려 보내
그날에 우리 마주 앉아
입 맞추던 밤에
둘만의 비밀 얘기를 해요
눈부신 밤하늘 너와 별을 새겨
지워지지 않게 놓아요
이별이 없는 이 별에서
사랑을 나눠요
하늘 달빛 아래 위로
거리에 비친 별들 말로
다시 한번 말해 봐요
이별이 없는 이 별에서
사랑을 나눠요
셀 수 없는 밤들 지세며
깜빡거리는 널 찾은 날에
기다려왔던 이 순간에
우리 마주 앉아 서로를 보며
비밀 얘기를 해요
눈부신 밤하늘 너와 별을 새겨
지워지지 않게 놓아요
이별이 없는 이 별에서
사랑을 나눠요
다음 생엔 별로 태어나
네가 있는 곳을 비추고
힘이 들 때 너의 길이 되어
걸어갈게요
우리 함께 가요
눈부신 밤하늘 너와 별을 새겨
지워지지 않게 놓아요
이별이 없는 이 별에서
사랑을 나눠요
하늘 달빛 아래 위로
거리에 비친 별들 말로
다시 한번 말해 봐요
이별이 없는 이 별에서
사랑을 나눠요
이별이 없는 이 별에서"
2,최현준 (V.O.S),숨만 쉬는 나,"문득 떠오른 네 얼굴 눈에 밟혀서
내 곁에 없는 네가 미워져
사랑이 끝나서 우리 연이 다해서
끝인 줄 알았는데
이별 후에야 찾아온 그리움이 날
붙잡고서 놔주질 않아
사랑 그것 참 사랑 그것 참
사람이 할 게 아닌 거 같아
아침에 눈을 뜨고
살기 위해 먹고
아무 생각 없이 숨만 쉬는 나
눈물은 말랐고 생각도 난 멈췄어
아무 의미 없이 숨만 쉬는 나
그토록 찬란하게 내 삶을 비추던
태양이 왜 이리 싫은지
오늘이 지나면 내일이 오겠지
그래도 내일은 오겠지
기억이나 할런지 긴 시간이 지나면
모두 잊혀지고 없던 일이 되고
이별은 다 이런 건가 봐
아침에 눈을 뜨고
살기 위해 먹고
아무 생각 없이 숨만 쉬는 나
눈물은 말랐고 생각도 난 멈췄어
아무 의미 없이 숨만 쉬는 나
그토록 찬란하게 내 삶을 비추던
태양이 왜 이리 싫은지
오늘이 지나면 내일이 오겠지
그래도 내일은 오겠지
또 다른 사랑이 오겠지"
3,다린,토끼와 나,"세상 모든 슬픔을 물리칠 순 없지만
너만의 내가 되어 너를 지켜줄게
모든 아름다움은 완벽하지 않아
망가지지 않는 사랑 너에게 줄게
이제 어디로든 갈 수 있어
작은 종이배를 타고
푸른 하늘 은하수
너와 마주 앉아서
모든 그림자가 잠드는
끝이라 불리우는
수평선 너머 펼쳐진
저기 꿈의 징검다리로
너를 만났던 그 순간
모든 두려움과 슬픔은
저 멀리 어제로
이제 어디로든 갈 수 있어
작은 종이배를 타고
푸른 하늘 은하수
너와 마주 앉아서
모든 그림자가 잠드는
끝이라 불리우는
수평선 너머 펼쳐진
저기 꿈의 징검다리로"
4,정해일,별빛보다 널,"하루를 마치고 잠자리에 들면
넌 뭘 하는지 궁금해졌어
언제부턴가 내 생각의 끝에
들어와 함께 있는 너
고마워 내게 웃어줘서
또 날 웃게 해줘서
소소한 행복을 느끼게 해줘서
나를 닮아가는 너여서
널 닮아가는 나여서
느껴 널 사랑해
기억할게 널 별빛보다 빛나는 사랑으로
모든 날의 행복으로 너를 감싸 안아줄게
바라볼게 널 햇살처럼 포근한 사랑으로
네가 외롭지 않게 항상 사랑을 말할게
비가 오는 날 우산처럼
매일 아침 커피처럼
항상 너의 곁에 서 있어줄게
나를 닮아가는 너여서
널 닮아가는 나여서
느껴 널 사랑해
기억할게 널 별빛보다 빛나는 사랑으로
모든 날의 행복으로 너를 감싸 안아줄게
바라볼게 널 햇살처럼 포근한 사랑으로
네가 외롭지 않게 항상 사랑을 말할게
널 처음 만났던 그날을 난 기억해
한순간에 이끌렸던 푸르렀던 널
말해줄래 다 너도 나만큼 날 사랑한다고
꽃잎이 피어나듯 내게 사랑을 전해줄래
간직할게 널 별빛보다 빛이 나도록
많은 시간이 지나 우린 행복했었다고
돌아볼 수 있게"
5,지세희,엄마,"아팠죠 또 참았죠 나만 보고 살았죠
하나 둘씩 그 세월이
흰머리가 됐네요
영화 속 영웅처럼 커 보였던 당신은
내 품에 안길 만큼 작아졌죠
작고 고운 손 이제 굳은살 배겨
위로를 못 받고 있네요
그렇게 매일 강해져야만 해서
편하게 울지도 못했죠
엄마 미안해요 아프지 마요
항상 같은 자리에서 나를 기다려줬죠
늘 혼자였죠 눈물도 많이 흘렸죠
엄마 사랑해요
그대 맘을 이제야 알겠어요
그 여린 마음 다치지 않게
내가 지켜 줄게요 웃어봐요
가끔씩 그리워요 날 혼내던 당신이
속상했죠 돌아서서 더 아파했죠
그랬던 그대 지난 세월과 함께
조금씩 약해져 가네요
야속하게도 기다려 주질 않죠
흐릿한 추억만 남긴 채
엄마 미안해요 아프지 마요
항상 같은 자리에서 나를 기다려줬죠
늘 혼자였죠 눈물도 많이 흘렸죠
엄마 사랑해요
그대 맘을 이제야 알겠어요
그 여린 마음 다치지 않게
내가 지켜 줄게요 웃어봐요
세상이 막막 해 질 때면
나 투정 부리며 밀어냈었죠
내 맘은 그게 아니었는데
그대 가슴에 상처를 내죠
엄마 고마워요 내 엄마 여서
나 아무리 어른이되어도
울고 싶을 땐 두 팔 벌려 날
토닥이며 위로했죠
이젠 걱정 말아요
흘렸던 눈물에 보답할게요
지금 이렇게 행복한 기억
영원 하도록 함께 웃어봐요
고마워요 내 엄마 여서
내가 지켜줄게요 사랑해요"
6,송유진,반했어,"움직이는 사람들
그 속에 우두커니 서있는
놀라워 나의 이상형 여깄네요
시간이 멈춘듯해
정말 난 이런 느낌 첨이야
자석처럼 또 이끌리네
눈을 감고 셋을 세면
내 앞에 와줘 어서요
누군가가 채가기 전에
너는 왜 도대체 왜
오늘 왜 이렇게 멋진가요
한걸음 또 다가와
내 이름을 딱 불러주네요
이제 난 어떡하나요
네 가슴에 기대어 들려요 심장소리가
네게 네게 반했어 나 왜 이러니
DA RA DA RA DA RA DA DA 반했어
DA RA DA RA DA RA DA DA 반했어
DA RA DA RA DA RA DA DA 반했어
내일아 오지마요
오늘만 무한 Loop 하고파
마법처럼 다 이뤄져라
눈을 감고 셋을 세면
내 앞에 와줘 어서요
누군가가 채가기 전에
너는 왜 도대체 왜
오늘 왜 이렇게 멋진가요
한걸음 또 다가와
내 이름을 딱 불러주네요
이제 난 어떡하나요
네 가슴에 기대어 들려요 심장소리가
네게 네게 반했어
환한 미소로 이쁘게 웃어주던 너
시간아 제발 가지 마요
너는 왜 너는 대체 어느 별에서 왔나요
멋있게 또 다가와
내 손목을 딱 잡아주네요
이제 난 어떡하나요 네 가슴에 기대어
들려요 심장소리가 네게 네게 반했어
나 왜 이러니
DA RA DA RA DA RA DA DA 반했어
DA RA DA RA DA RA DA DA 반했어
DA RA DA RA DA RA DA DA 반했어"
7,손주희,가끔 그때가 그리워,"가끔 그때가 그리워
소소한 것들로 가득채우며
이 세상 부러울게 없던 우리
그렇게 사랑 했었는데
사실 너도 기억하지
기억 저 편에서 존재하고있을
그 시절 너와나 예뻤던 우리
너무도 따뜻 했었는데
내 불안했던 영혼을 힘껏
안아준 그대 맘이 내게
거치른 삶속에
아름답게 기억되도록
위로가 되어준
사실 너도 기억하지
기억 저 편에서 존재하고있을
그 시절 너와 나 예뻤던 우리
너무도 따뜻 했었는데
내 불안했던 영혼을 힘껏
안아준 그대 맘이 내게
거치른 삶속에
아름답게 기억되도록
위로가 되어준
영혼을 힘껏 안아준 그대 맘이
내게 거치른 삶속에
선물같은 시간들로 선명히 남아
그 힘으로 아름답게 나 기억하며
살아갈수 있다고"
8,Sondia,This Is Love,"You 가만히 널 보면
밤 하늘에 수놓은 별빛처럼
내 마음에 자꾸만 스며들어
향기로운 작은 미소들이
자꾸 설레게 만들어
This is love oh Love
여기 그대로 있어줄게요
난 꿈을 꾸죠 눈을 감아도 선명해지는
This is love
네 눈빛 속에 나는
늘 어떤 사람일까 불안해져
나의 하루 그 어느 곳이라도
온통 너만 가득 차올라서
자꾸 못 견디게 슬퍼져
This is love oh Love
여기 그대로 있어줄게요
난 꿈을 꾸죠 눈을 감아도 선명해지는
This is love
아름답던 추억이
되어준 네게 이제는
Always love love love
영원하도록 널 사랑할게
Love oh It's you
오직 너 하나 그것만으로 충분해"
9,NIDA,끝,"너 없는 오늘도 여전히
나는 아무렇지 않게 웃을 수 있어
억지로 마신 술에 취한 듯이
힘들어하는 널
이제야 늦었지만 보내줄게
자꾸만 눈물이 나는 건
우리 사랑한 시간이 너무 많아서
끝을 알면서도 모른 척 기다린 건
처음처럼 네가 날 사랑하게 될까 봐
기다린 듯 넌 그렇게
내게 이별을 말하고
차가워진 네 맘은 점점 멀어지는데
어떻게 너를 보내야 잊을 수 있을까
못하겠어 우리 사랑했잖아 가지 마
그래 널 지워볼게
그때 널 멈췄었더라면 아마 난
이렇게 아파할 리가 없는데
끝을 알면서도 모른 척 기다린 건
아무렇지 않게 너 돌아오게 될까 봐
기다린 듯 넌 그렇게
내게 이별을 말하고
차가워진 네 맘은 점점 멀어지는데
어떻게 너를 보내야 잊을 수 있을까
못하겠어 우리 사랑했잖아 가지 마
그래 널 지워볼게
애써도 안될 그런 사랑이라면
너 없어도 나 괜찮아 떠나도 돼
그렇게 너는 내게 이별을 말하고
차가워진 네 맘은 점점 멀어지는데
어떻게 너를 보내야 잊을 수 있을까
못하겠어 우리 사랑했잖아 가지마
그래 널 지워볼게"
