,artist_name,song_name,lyric
0,임세민,지나간다,"다 지나간다 지나가
천천히 흘러 갈뿐야
눈물이 왈칵 쏟아질 것 같아도
다 지나간다 지나가
조금은 초라한 듯 보여도
네 한숨 같이 흩어질 거야 멀리
널 멈출 순 없지만
환하게 웃어줄게 난
막힌 가슴이 숨을 쉴 수 있도록
이 밤 끝엔
아침이 밝아오면
널 크게 불러줄게 난
따뜻한 햇살이 네게 비출 거야
다 지나간다 지나가
천천히 흘러 갈뿐야
어디에 닿을지는 아직 몰라도
다 지나간다 지나가
때로는 쓸쓸한 듯 보여도
맘 아파하지마 다 괜찮아 정말
널 멈출 순 없지만
환하게 웃어줄게 난
막힌 가슴이 숨을 쉴 수 있도록
이 밤 끝엔
아침이 밝아오면
널 크게 불러줄게 난
따뜻한 햇살이 네게 비출 거야
말뿐인 위로지만
가만히 안아줄게 난
지친 어깨가 잠시 쉴 수 있도록
이 밤 끝엔
아침이 밝아오면
네 손을 들어줄게 난
내일의 네 하루는 꼭 빛날 거야"
1,나슬,아프고 싶은 날,"하루의 시작이
늘 불안해 잠들기 싫은 밤
생각하기 싫어서
온종일 아프고 싶은 날
내가 너무 미워
나와 한참 싸우고
어딘가에 있을
끝을 찾아 숨었죠
어느새 내 안은
너무 무거워져서
작은 몸부림도
허락할 수 없어요
천천히 고개를 들던
내 마음의 꽃이
혹시 시든 건 아닐까요
언젠가 꺾여진 꽃을
사랑스럽다고
믿어주면 덜 아플까요
날 향한 위로가
서럽게만 들리고
모진 말 들었던
기억 속에 갇혀요
어디쯤 왔을까
가늠조차 안돼서
제자리에 멈춰
한걸음도 못 가요
천천히 고개를 들던
내 마음의 꽃이
혹시 시든 건 아닐까요
언젠가 꺾여진 꽃을
사랑스럽다고
믿어주면 덜 아플까요
초라하기만 한 나의
작은 손으로도
눈물을 가릴 수 있나요
아프게 밟히던 내 맘
그 속 어딘가는
날 사랑하고 있을까요"
2,딜리버 (Deliver),Welcome,"어서 와 널 기다리고 있었어
아무 포장 없이
밤새 얘기하고 싶었어
진짜야 널 만나보고 싶었어
무슨 생각할까
어떤 마음일까 궁금해
언제부턴가 난 니가 올 상상하면
찌뿌리다가 웃게 되고
가만히 있다 심쿵하고
막 그렇게 달콤해
How do i love thee
해가질 때 지는 노을보다 더
니가 좋아서
길가의 핀 꽃들에게도 인사해
How do i love thee
밤하늘의 빛난 별들보다 더
Just you you you
Only you you you
그때부턴가 봐 우리 멀리 있어도
너는 내 안에 난 니 안에
부르면 바로 달려갈게
널 따스히 안을게
How do i love thee
해가질 때 지는 노을보다 더
니가 좋아서
길가의 핀 꽃들에게도 인사해
How do i love thee
밤하늘의 빛난 별들보다 더
Just you you you
Only you you you
너에게 보여주고 싶어
나에게 있는 마음과 사랑 모두
매일 너 나와 함께 해줄래
I wanna be with you forever
How do i love thee
해가질 때 지는 노을보다 더
니가 좋아서
길가의 핀 꽃들에게도 인사해
How do i love thee
밤하늘의 빛난 별들도
너를 안고서 입을 맞추고 말해
어서 와"
3,이찬미,생각나다,"하루 종일 생각나서
한번 끄적여 봤어
사랑한단 말 보고 싶단 말
좋아한단 말
보고 싶어도
네 시간 걸리는 장거리 연애
길거리 연인들 보면
니가 더욱 보고 싶어져
항상 예쁜 말만 해주는
너 사랑스러워
사랑한단 말 보고
싶단 말 좋아한단 말
나를 위해 맞춰주는 그런 니가
내게 있어 정말 좋아
널 너무 사랑해서 질투도 하고
투정도 부리고 화도 내보고
이런 내가 좋다며
예뻐해 주는 니가 내 곁에 있어
정말 행복해
일하는 중간에도 니 생각하다
길가는 도중에도 니 생각하다
자꾸 자꾸 생각나서 너무 좋아
우리 행복하게 오래가자
널 너무 사랑해서 질투도 하고
투정도 부리고 화도 내보고
이런 내가 좋다며
예뻐해 주는 니가 내 곁에 있어
정말 행복해
널 너무 사랑해서 질투도 하고
투정도 부리고 화도 내보고
이런 내가 좋다며
예뻐해 주는 니가 내 곁에 있어
정말 행복해"
4,김대현,우리 이제,"나 처음 그댈 본 날
알 수 있었죠
그대 내 사랑이 될 것을
이제 내 눈을 봐요
내 손을 잡아요
우리 이제 같이 걸어요
많이 힘들었던 그대
힘이 되주지 못해 미안한 나
이제 울지 말아요
우리 이제 함께해요
내겐 바라보기도 아까운 사람
밝은 별처럼 빛나는 사람
그런 그대에게 나 이제 고백해요
그댈 사랑해요
우리 지금처럼 서로 변치마요
그대 알고있나요
처음 그댈 본 날처럼
지금도 여전히 설렌단 걸
처음 손을 잡았던 날
처음 그댈 안았던 날
나에겐 여전히 선명해요
내겐 바라보기도 아까운 사람
밝은 별처럼 빛나는 사람
그런 그대에게 나 이제 고백해요
그댈 사랑해요
내겐 바라보기도 아까운 사람
밝은 별처럼 빛나는 사람
그런 그대에게 나 이제 고백해요
내 평생 그대곁을 지킬게요
약속할게요 세상 그 누구보다
그댈 사랑할게요 우리 이제
함께해요"
5,박진하,매일 봐도 설레,"제발 연락 좀 해줄래
나는 온통 오빠 생각뿐
답장이 없네 하루 종일
기다리는 내 맘 알아줄래
날 설레게 했던
오빠 맘을 더 알고 싶은데
매일 매일 봐도 아직도 설레
예쁘다는 그 말에 설레
화장을 안 해도
예쁘다는 말 두근거려
내 뒷자리에 앉은 날
당당하게 발표하는
내 모습에 반한 날
목도리를 따뜻하게
매어주었던 그 날처럼
떨리는 목소리로
고백했던 그 날
매일 매일 봐도 아직도 설레
예쁘다는 그 말에 설레
너무 예뻐서 다 가리고 다니라던
오빠가 사랑스러워
비 온 뒤에 땅이 단단해지듯
우리도 더 자라날 거야
난 오빠 만을 오빠는 나만을 믿고
함께 걷는 거야
가야 할 길은 멀고도 멀어
두 손 꼭 잡고 꽃 길만 걷자
예쁜 연애 예쁜 가정
우리의 인생도
아름답게 가꿔가는 거야
오빠 만을 사랑하는 내 마음
내 맘을 알아줘"
6,정정란,사랑했는데...,"술이라도 한잔 할까봐
오늘은 널 잊도록
누구라도 만나 볼까봐
니 생각 못하도록
헤어진 지금도
니 번호 난 못지워
니 번호를 지운다면
너를 다시는 못 볼까봐
사랑했는데 참 좋았는데
왜 떠나는데
니가 대체 뭐라고 날 울게 만들어
너무 보고 싶고 또 안고 싶어
내가 왜 이러지
죽을 만큼 아픈데 왜 그리운 건지
너와 걷던 거리 즐겨 부르던 노래
함께 가던 식당에도
아직 니가 살고 있잖아
사랑했는데 참 좋았는데
왜 떠나는데
니가 대체 뭐라고 날 울게 만들어
너무 보고 싶고 또 안고 싶어
내가 왜 이러지
죽을 만큼 아픈데 왜 그리운 건지
괜찮아질듯 하면서도
다시 가슴이 복 받쳐 올라
우리 추억이 날 떠올려
시간이 가도 세월이 가도
널 못 잊겠어
사랑한다고 지켜준다고
너 그래놓고
지금은 왜 아닌데 너만 변했는데
붙잡고 싶어도 나 못 하는건
자존심이 아냐
돌아오질 않을걸 나도 잘 아니까
난 오늘도 내일도 너를 기다릴게"
7,정유진,숨결,"왜 하필 그대인 거죠
왜 지금 잊고 사는 내게 온 거죠
힘들어요
함께 할 수 없는 걸
왜 이제 하늘은 말하는지
눈물 속 슬픔을 애타게 불러 봐도
돌아오는 건 메아리뿐
무정하게 스쳐가며
내 맘을 아프게 해요
기다리라며 그대가 전해준
네 작은 손에 든 목걸이를
기억 하나요
날 볼 수 있다면 내 눈을 바라봐 줘요
숨결 느낄 만큼 가까이 있는데
오 제발
내게 돌아온다며 잠든 날 떠나가면
어떡해요 힘들어요
함께 할 수 없다며
하늘이 내게 말을 하는데
시간에 잊혀져 갈 나보다
나 없이 보이는 그대가 싫어요
돌아온다며 내게 약속한
그 기억들이 날
이 창가에 혼자 두네요
그대를 보고 싶을 땐
하늘을 봐라 볼게요
숨결 느낄 만큼
기다리라며 그대가 전해준
네 작은 손에 든 목걸이를
기억 하나요
날 볼 수 있다면 날 볼 수 있다면
숨결 느낄 만큼 가까이 있는데 제발"
8,미앤유 (me and you),네가 없는 새벽 (With 박연 of 담소네공방),"미안해 지금 자고 있는 중이니
그냥 네 생각이 나서 연락해봤어
보고 싶어
눈을 감을수록 선명해지는
너를 그리다 그리다 안될걸 알지만
요즘은 뭐 하니 잘 살고 있는 거니
잘 지내는 네 모습 참 마음이 쓰리다
잘 지낼 수 있을 거라고
널 쉽게 놓았던 내가
너무 원망스러워
다시 돌아갈 수 있을까
돌아와 주라는 말이
너무 기니 쉽지가 않아
내가 뻔뻔하단 거 나도 잘 알아
아는데 더 이상
내가 후회하고 싶지가 않아
넌 기억하니 우리 예뻤던 나날들
아직도 나는 헤어 나오질 못해
그때가 너무 그리워서
그 추억이 생각이 나서
네가 보고 싶어
다시 되돌릴 수 있을까
돌아와 주라는 말이
너무 기니 쉽지가 않아
내가 뻔뻔하단 거 나도 잘 알아
아는데 더 이상
내가 후회하고 싶지가 않아"
9,세비야,아파,"아직 가시지 않은
연기처럼
뜨겁게 남아있는
너란 이름의
사랑 상처 자국
여전히 나는 데인다
이 비가 그칠 때쯤
사라질까
지우려 해도
탄 자국처럼
검게 물들어 있어
참 지겹게
지우면 더 번지는
기름처럼
남아있어
다시 듣고 싶지 않은
노래가
들려와
또 무너져
너만 생각하면
자꾸 맴돌아
여전히 나는
아프다
이 비가 그칠 때쯤
사라질까
지우려 해도
탄 자국처럼
검게 물들어 있어
참 지겹게
지우면 번져가
병처럼 번져가
그만하라고
그만하라고
소리 지르고 욕해봐도
그대로 있는 니가
너무 싫어져
널 미워해
널 미워해
미워하면 할수록 더
커져가는
난 어쩌지 못해
또 무너져"
10,리마크,어차피,"괜찮아 눈물은
보이지 않아도 돼
어차피 달라지지 않잖아
수고했어 사랑하지 않는 날
사랑하려 노력해준 것들
고마웠어 잘 버텨줬어
내 사랑아 이렇게라도
널 위로하고파
사랑이 전부인 내겐
너무 힘든 일이지만
보내줄게
괜찮아 눈물은
보이지 않아도 돼
어차피 달라지지 않잖아
수고했어 사랑하지 않는 날
사랑하려 노력해준 것들
고마웠어 잘 버텨줬어
내 사랑아 이렇게라도
널 위로하고파
사랑이 전부인 내겐
너무 힘든 일이지만
보내줄게
혹시나 내가 그리워지는
순간이 온다면
그때 돌아와도 괜찮아
난 항상 이 자리에서
기다리고 있을 테니까"
11,오상아,그리다,"그날에 우리 아련한 손끝엔
찬란한 빛처럼 온기로 가득했지
고개 숙인 발끝엔 그리운 니가 맴돌아
어디에 있니 나를 안아주던
따뜻한 네 품이 이렇게 난 그리운데
저 달빛도 나를 비춰주는 그림자
그 속에 널 그려
기억하고 있어 그 떨리던 입맞춤보다
빛 바랜 시간 속 날 바라보던 너의 두 눈
고개 숙인 발끝엔 그리운 니가 맴돌아
어디에 있니 나를 안아주던 따뜻한
네 품이 이렇게 난 그리운데
저 달빛도 나를 비춰주는 그림자
그 속에 널 그려
이제야 너를 온전히
헤아릴 수 있는데 난
지나간 시간 속 나로 인해
아파했었던 그때의 널 그려"
12,목영,한순간,"너와 헤어지고 몇 일이 지나서
내 친구에게 연락이 왔고
괜찮냐고 이젠 다 잊었냐고
내게 되묻길래
이젠 괜찮다고 정말 다 잊었다고
아무렇지 않게
내 친구에게 난 대답을 했어
이렇게 헤어지는 것도
지워 버려지는 것도
모든 추억 버려지는 것도
한 순간이더라
이렇게 아무렇지 않게
친구와 네 얘길 하면서
정말 한 순간이란 걸 난 알아버렸어
너와 헤어지고 몇 달이 지나서
내 친구에게 연락이 왔고
널 봤다고 너 옆엔
내가 아닌 딴 남자였다고
이젠 괜찮다고 정말 다 잊었다고
아무렇지 않게
내 친구에게 난 대답을 했어
이렇게 헤어지는 것도
지워 버려지는 것도
모든 추억 버려지는 것도
한 순간이더라
이렇게 아무렇지 않게
친구와 네 얘길 하면서
정말 한 순간이란 걸 난 알아버렸어"
