,artist_name,song_name,lyric
0,에릭남 (Eric Nam),놓지마 (Hold Me),"Just stay with me
I need you to stay with me
빛나는 아름다운 기억
그 속에 너를 그리곤해
Just stay with me
네가 필요해 stay with me ooh ooh
내 눈을 바라 보기만 해줘
단 한 순간 만이라도
좀 늦었지만
날 놓지는마
아직도 너를 사랑하는 나 oh
너의 눈을 보면 가슴이 터질까봐
Hold on to me
나를 놓지말아줘 제발
So stay with me
I need you to stay with me yeah
빛나는 아름다운 미소
그 속에서 헤메이곤 해
Hold on to me 제발
Won’t you hold on to me ooh ooh
별처럼 아름다웠던 그 추억도 이젠
좀 늦었지만
날 놓지는마
아직도 너를 사랑하는 나
너의 눈을 보면 가슴이 터질까봐
Just stay with me
나를 놓지말아줘 제발
붙잡아줘 날
나 잘못하더라도
이해해줘 나를 부탁해
내 곁에만 있어줘
좀 늦었지만
날 놓지는마
아직도 너를 사랑하는 나
너의 눈을 보면 가슴이 터질까봐
Just stay with me
나를 놓지말아줘 제발"
1,폴킴,꽃비,"기다리고 기다리다
이젠 견딜 만해진 계절
어느덧 거리 위엔 많은 사람들
손을 맞잡은
아직은 어색한 저 설레임들
어쩌면 너와 나의 첫 모습
잘 지내고 있어
걱정했던 것보단
많이 웃고 또 울었던 기억들도
사르르 녹아 흐르는 눈처럼 흘러
oh 또 다른 사랑 찾으려 해
바람에 흩날린 꽃잎에 oh
너의 추억 하나씩 입맞춰 마지막
goodbye
너 없던 날들에 kiss
woo oh oh
아니라고 다르다고
너를 잊을 수는 없다던
그런 나도 결국 변해 잊어가고 있어
Ooh
어쩜 넌 모두 알았는지도
넌 잘 지내는지
걱정하던 날도 이젠
많이 웃고 또 울었던 기억들도
사르르 녹아 흐르는 눈처럼 흘러
oh 또 다른 사랑 찾으려 해
바람에 흩날린 꽃잎에 oh
너의 추억 하나씩 입맞춰 마지막
goodbye
너 없던 날들에 kiss
떨어지는 꽃이 지면 돋아나는
여린 잎처럼 oh 두려워
너 아닌 다른 사랑한다는 건
아직 나는 아무것도 할 수 없어
oh 여기 있어
너와 꽃비를 맞던 곳에서 oh
너의 추억 하나씩 입맞춰 마지막
goodbye
너의 입술 너의 향기 네 미소에
너 없던 날들에 kiss"
2,김연지,마음의 말,"나 며칠을 앓고만 있어
가슴이 너로 벅차서
숨 쉬는 게
잠드는 게 힘이 들어
네 옆인데도
마음은 네 옆에 갈 수 없어
항상 널 그리워만 해
그리움은
오늘도 눈물이 됐어
말해보고 싶어
나 불러보고 싶어
늘 입술 맡에 머금고
되뇌고 되뇌는
마음의 말
아무리 외쳐봐도
너에겐 들리지 않나 봐
매일 속으로만
눈빛으로만
말해야 했었던
널 향한 사랑의 말이야
긴 하루가 되어버렸어
나 너를 기다리는 게
숨 쉬듯이
당연한 일이 된 거야
말해보고 싶어
나 불러보고 싶어
늘 입술 맡에 꺼냈다
감추고 감추는
마음의 말
아무리 외쳐봐도
내 맘이 보이지 않나 봐
밝은 얼굴 뒤로
얼마나 많은
눈물을 지우고
지워야 했는지 모를 거야
처음인 걸
나 이런 감정은
네 곁인데도 난 네가 그리워
한 번만이라도
네 품에 안겨 너의 이름을 부른다면
말해주고 싶어
나 들려주고 싶어
늘 입술 맡에 머금고
되뇌고 되뇌던
마음의 말
아무리 외쳐봐도
너에겐 들리지 않나 봐
매일 속으로만
눈빛으로만
말해야 했었던
널 향한 사랑의 말이야"
3,동해 (DONGHAE),Perfect (Cadillac X DONGHAE),"Love me Love me Love me Lady
Kiss me Kiss me Kiss me Babe
When I fall in love with you
자꾸 너만 생각해 난
너의 그 미소 웃음소리도
온종일 귓가에 맴돌아
너와 나 단둘이 아주 잠시라도
더 있고 싶어서
같은 거릴 또 걷고 있어
You & I Love 우리
Something 영화같이 우리
너와 함께라면 어디든지
멋진 캐딜락 타고 떠날 거야
꿈만 같은 오늘이 계속 깨지 않고
널 볼 수 있다면 그럴 수 있다면
You're so perfect
넌 내게 완벽해
네게 눈을 뗄 수 없어
나는 이미 Out of Control
My Lady 내게로 와 Babe
계속 너와 걷고 싶어
항상 네 곁에 난 All Day
설명할 수 없는 그런 느낌
너에게만 있는 작은 떨림
더 좋아져 나도 모르게
난 네가 좋아져
You & I Love 우리
Something 영화같이 우리
너와 함께라면 어디든지
멋진 캐딜락 타고 떠날 거야
꿈만 같은 오늘이
계속 깨지 않기를 Oh
그럴 수 있다면
You're so perfect
넌 내게 완벽해
네게 눈을 뗄 수 없어
나는 이미 Out of Control
My Lady 내게로 와 Babe
계속 너와 걷고 싶어 항상 네 곁에 난
한 가지만 더 바랄게
우리 모든 시간이 영원하길 바래 난
You're so perfect
You're so perfect perfect
넌 내게 완벽해
내게 완벽한걸
네게 눈을 뗄 수 없어
나는 이미 Out of Control
My Lady 내게로 와 Babe
계속 너와 걷고 싶어
항상 네 곁에 난 All Day"
4,박규리 (카라),Universe,"말해도 될까 말하지 말고 지낼까
아니 어제처럼 그냥 웃어만 줄까
oh no
말해서 뭐해 나만 바보될지 몰라
아님 용기내서 그냥 지르고 볼까
우리 시작해 볼래
nobody wants to be alone
난 너만을 원해 be the one
난 걱정안해 난 후회안해
네 맘 다 내게 보이니까
nobody wants to be alone
너만을 원해
너는 나만의 universe
바라만 볼까 말하지말고 지낼까
아니 바보처럼 그냥 웃어만 줄까
oh no
뭐라고 말해 나랑 같을지도 몰라
그래 용기내서 그냥 지르고 볼까
우리 시작해 볼래
nobody wants to be alone
난 너만을 원해 be the one
난 걱정안해 난 후회안해
네 맘 다 내게 보이니까
nobody wants to be alone
너만을 원해
너는 나만의 universe
난 네가 먼저 말해주면
yes야 바라던 바야
내게 키스해줘
l love you
nobody wants to be alone
난 너만을 원해 be the one
난 걱정안해 난 후회안해
네 맘 다 내게 보이니까
nobody wants to be alone
너만을 원해
너는 나만의 universe"
5,한기란,어른,"견뎌야 할 일이 참 많아요
모른척해야 할 일도 많아요
감당해야 할 것들이
점점 더 늘어만 가서
매일 조금씩 더 무거워요
내가 뭘 어떻게 버틸 수 있을까
잡고 있는 손을 놓아버리면
조금 편해질까
나는 지금 얼만큼 와 있는 걸까
끝이란 게 있는 걸까
어른이 되면 모든 게 좀 나아질까
얼마나 많은 밤을 지내야
어른이 될 수 있는 건지
달력을 몇 장 더 넘기다 보면
언젠간 어른이 되는 건지
얼마나 아픈 밤을 지내야
다 견딜 수 있게 되는 건지
언젠가는 이 모든 게 다
아무렇지 않아지는 건지
내가 더 어떻게 버틸 수 있을까
눈을 감고 귀를 막아 버리면
조금 편해질까
나는 지금 얼마큼 와 있는 걸까
끝이란 게 있긴 한 걸까
어른이 되면 모든 게 좀 나아질까
얼마나 많은 밤을 지내야
어른이 될 수 있는 건지
달력을 몇 장 더 넘기다 보면
언젠간 어른이 되는 건지
얼마나 아픈 밤을 지내야
다 견딜 수 있게 되는 건지
정말 이 모든 게
아무 일도 아닌 건지
아직은 모든 게 다 어려워요
숨길 자신이 없어요
매일 아무렇지 않은 척하는 게
힘들어요 어른이 되는 게
얼마나 많은 밤을 지내야"
6,조인 (ZOIN),겨울이 지나면,"겨울이 분다
바람이 차갑게 세상이 하얗게
너의 기억이 분다
그날의 우리 그때의 너와 나
넌 언젠가 따뜻하게
햇살처럼 내게 왔어
그래 넌 내게 자연스레
사랑이 뭔지 알게 해줬어
너의 따뜻함에 익숙해져 갈 때쯤
그렇게 어리석게
항상 널 춥게 만들곤 했어
이 겨울이 지나면 널 잊을 수 있을까
이 겨울이 지나면 널 보낼 수 있을까
이 겨울이 지나면 정말 괜찮아질까
이 겨울이 지나면 다 지울 수 있을까
왜 그렇게 참 추웠던
그 날에 날 떠나갔어
그래 넌 정말 힘들었겠지
나보다 빨리 겨울이 왔겠지
우리의 마지막이 좀 더 괜찮았다면
조금 더 예뻤다면
우리 이렇게 춥진 않았을 텐데
이 겨울이 지나면 널 잊을 수 있을까
이 겨울이 지나면 널 보낼 수 있을까
이 겨울이 지나면 정말 괜찮아질까
이 겨울이 지나면 다 지울 수 있을까
이 겨울이 지나면
이 겨울이 지나면 이 겨울이 지나면
다시 봄이 오겠지 그렇게 또 우린
자연스럽게 우리
우리를 잊게 되겠지
얼마나 더 추워야 이 겨울이 지날까
얼마나 더 아파야 내 눈물이 멈출까
얼마나 더 지나야 이 바람이 끝날까
얼마나 힘들어야 따뜻한 봄이 올까
그래 난 아직 이 겨울에 살아
니 기억에 살아"
7,브라운 심리학과,널 두고 온 걸까,"특별한 일이 없어도
평범한 일상 속에서
너는 내게 유일한
두근거림이었는데
우연히 널 본다면 이 길에서
혹시 마주친다면 난 마주친다면 난
널 보는 게 마지막인 줄 알았다면
널 붙잡았을 텐데 왜 난 몰랐을까
나는 아직까지 널 생각하면
눈물부터 나오는데
괜찮다가도 널 떠올리면
그냥 눈물이 나
널 만나러 갔던 그 길
그 끝에 서 있는 널 생각하며
웃음으로 가득한
나를 보곤 해
우연히 널 본다면 이 길에서
혹시 마주친다면 난 마주친다면 난
널 보는 게 마지막인 줄 알았다면
널 붙잡았을 텐데 왜 난 몰랐을까
나는 아직까지 널 생각하면
눈물부터 나오는데
괜찮다가도 널 떠올리면
그냥 눈물이 나
뭔가를 놔두고 왔는지
나사가 빠져버렸는지
나도 잘 모르겠어 뭐가
잘못된 건지 뭘 실수한 건지
나는 아직까지 널 생각하면
눈물부터 나오는데
괜찮다가도 널 떠올리면
그냥 눈물이 나"
8,려,몸살나게,"어릴적 동화 속에서는 꼭
힘들면 누군가가 찾아와
그 아픔 그 슬픔
모두 잊게 해주지
근데 나는 이게 뭐야 정말
사랑이 라는 곳에 살지만
사랑이 라는 곳이 외로워
노력을 해봐도 안되는건 안된다
진짜 우리 이게 뭐야 정말
운명이라서 하늘이 맺어준
사람이라 나는
널 사랑했어 몸살나게
아플 때마다 참고 참았어 나는
조금 쉬면 나을 감긴가 해서
이별이 라는 곳에 왔지만
이별이 라는 곳이 무서워
그 사람 불러도
들은 척도 안하고
진짜 우리 이게 뭐냐 정말
운명이라서 하늘이 맺어준
사람이라 나는
널 사랑했어 몸살나게
아플 때마다 참고 참았어 나는
조금 쉬면 나을 감긴가 해서
내 사랑은 변하지 않는데
결국은 니가 변한 거니까
운명이라서 하늘이 맺어준
사람이라 나는
널 사랑했어 몸살나게
아플 때마다 참고 참았어 나는
조금 쉬면 낫는 감긴가 해서"
9,홍찬미,겨울 아이,"왜 사람들은 날 바보라 할까요
내가 하는 말은
아무 힘 같은 건 없다고 하죠
얼마나 오래 간절히 바란
꿈이었는지 모르면서 오
왜 내 마음을 비웃나요
왜 난 아무것도
할 수 없다고 하는가요
한 줄의 가사로도 충분한걸요
그리고 싶은 마음껏 그릴래요
하늘이 높고 바다가 푸른
누구든 닿을 수 있는 그 곳에
난 꼭 가보고 싶어
그 곳에 좀 더 가까워지고 싶어
계속 가보고 싶어
눈이 와 길 위에 눈꽃이 피겠죠
내 손을 잡아요
그대를 위해서 좋은 소식이 될게요
이제 나의 키가 더 자라
언젠가 그댈 내 품에 안을 수 있도록
이렇게 노래 할게요
왜 사람들은 날 바보라 할까요
슬퍼 보인다며 날 외로운
사람이라고 하네요
그대의 마음 연약한 채로
괜찮단 걸 모르나요 오
모든 것이 얼어붙으려 할 때에
잠이 들지 말아요 내 눈을 봐요
한 줄의 가사로도 충분한걸요
그리고 싶은 마음껏 그릴래요
하늘이 높고 바다가 푸른
누구든 닿을 수 있는 그 곳에
난 꼭 가보고 싶어
그 곳에 좀 더 가까워지고 싶어
계속 가보고 싶어
눈이 와 길 위에 눈꽃이 피겠죠
내 손을 잡아요
그대를 위해서 좋은 소식이 될게요
이제 나의 키가 더 자라
언젠가 그댈 내 품에 안을 수 있도록
이렇게 노래 할게요
노래 할게요"
