,제목,가수,가사
0,새들처럼,변진섭,"열린공간 속을 가르며 달려가는 자동차와
석양에 비추인 사람들
어둠은 내려와 도시를 감싸고 나는 노래하네
눈을떠보면 회색빛 빌딩사이로 보이는 내모습이
퍼붓는 소나기 새찬 바람맞고 거리를 해메이네
무거운 하늘 희뿌연 연기사이로 보이는 아스팔트
답답한 도시를 떠나고 싶어도 나는 갈수없네
날아가는 새를 바라보면 나도따라 날아 가고싶어
파란하늘 아래서 자유롭게 나도 따라 가고 싶어

눈을떠보면 회색빛 빌딩사이로 보이는 내모습이
퍼붓는 소나기 새찬바람맞고 거리를 헤매 이네
무거운 하늘 희뿌연 연기사이로 보이는 아스팔트
답답한 도시를 떠나고 싶어도 나는 갈 수 없네
날아가는 새를 바라보면 나도따라 날아 가고싶어
파란하늘 아래서 자유롭게 나도 따라 가고 싶어
날아가는 새를 바라보면 나도따라 날아 가고싶어
파란하늘 아래서 자유롭게 나도 따라 가고 싶어"
1,I Dream,이병찬,"길었던 웅크림이
이제 나를 피어 올린다
자그만 물방울이 모여 깊은 샘이 되듯
소망의 밤들은 끝내 아침을 맞는다
I Dream I Dream I Dream
하늘을 향해
첫 날개를 펴는 나비가 되어
Oh I Dream I Dream I Dream
온 세상으로 울려 퍼질 나의 노래
첫 숨에 담은 희망을 꿈꾼다
I Dream
어느 어린 날의 난
숱한 기적을 만들었던
내 맘에 별처럼 새겨진
그 사람들처럼
같은 길을 따라
긴 시간을 걸어왔어
어두운 터널과 같던
미래가 걷히는 순간
비로소 난 내가 됐어
I Dream I Dream I Dream
하늘을 향해
첫 날개를 펴는 나비가 되어
Oh I Dream I Dream I Dream
온 세상으로 울려 퍼질 나의 노래
첫 숨에 담은 희망을 꿈꾼다
I Dream
눈부신 태양과 같이
내 꿈은 빛을 뿌리고
행복을 부르는 목소리는
더 짙어져 가
사랑을 믿는 가슴을 품은 사람들과
선물 같은 순간을 함께 바라본다
I Dream I Dream I Dream
Oh My Dream My Dream My Dream
온 세상에서 들려오는 나의 노래
그 끝에 깊은 감사를 담는다
I Dream"
2,잔소리,황치열,"아무 일 없지 지낼 만하지
거봐 괜찮다고 했잖아
장난기 어린 네 맑은 음성이
하루 종일 내 곁에 있곤 해
어딜 가든지 내가 무얼 하든지
혼자 내버려 두지 않아
무얼 먹어야 할지 무얼 입어야 할지
가면 갈수록 더해지는 너의 잔소리
그래서 눈물 나
내 귓가엔 네가 있는데
너를 볼 수 없다는 게
그게 너무 슬퍼서
그래서 눈물 나
내 가슴에 살아있는 널
너무 보고 싶어서 너무 보고 싶어서
너무 아파
저 여잔 어때 자꾸 등을 떠밀어
다른 여잘 만나게 해도
열 번이면 열 번
다 이뤄질 순 없었고
그런 날이면 전쟁 같은 너의 잔소리
그래서 눈물 나
나 그렇게 누굴 만나면
이제 다시 내 귓가에
오지 않을 너라서
그래서 눈물 나
너 그렇게 보내 버리면
네가 보고 싶어서
너무나 보고 싶어서
눈물이 나
어쩜 이렇게 아플까
가슴 터질 것처럼
그저 너 하나 없는 것일 뿐인데
그래서 눈물 나
이 세상이 해준 것보다
네가 내게 해준 것이
너무나도 많아서
그래서 눈물 나
널 더 이상 듣지 못한 채
주먹만한 가슴에 너를 살게 하는 게
미안해서"
3,말도 못해,김한결,"물 한 잔만 마셔도
속이 얹힌 것 같아
니 생각에 하루 종일
체한 듯이 살아
잃어버린 잔만큼
술은 조금 늘었고
귀만 아프게 슬픈 노래만
꺼내 듣곤 해
너와 많이 닮은 누군가를 소개 받아도
그게 너일 수는 없으니까
말도 못해
보다시피 난 잘 못 지내
너의 기억과 눈물만 삼키면
마지못해 살아
말해 뭐해
대충 잘 지내고 싶지만 안 돼
눈 뜨고 보기 힘든 내 하루가
말도 못해
제정신이 힘들어
실컷 취해 걸으면
딴 건 몰라도 너의 집 앞은
기억나더라
내게 했던 거짓말까지도 사랑했는데
니가 어떻게 날 떠날 수 있어
말도 못해
보다시피 난 잘 못 지내
너의 기억과 눈물만 삼키면
마지못해 살아
말해 뭐해
대충 잘 지내고 싶지만 안 돼
행복할 리 없는 날 너만 몰라
제발 미안하길 원해
걱정하길 바래
니가 망치고 간
내 사랑을 위해
하루만 돌아와주라
이해 안 돼
너만 괜찮을 리 없잖아
말이 안 되잖아
왜 같이 사랑하고 같이 끝내놓고
나만 아픈 건데
꼭 돌아와
니가 있어야 할 자리로 제발
몇 년이 걸린대도 오기만 해
부탁할게"
4,우연히 봄,San E,"우연히 내게 오나봐
봄 향기가 보여
너도 같이 오나 봐
저 멀리서 네 향기가
설레는 코끝에 나의 입술에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄
햇살이 따스해 옷도 많이 얇아졌어
바람도 싱그러 하늘색이 너무 예뻐
가만히 아무것도 안해도
I’m feeling good
끝나지 않을것 같았는데 어느새 봄
앙상한 나뭇가지에도 곧 피겠지 꽃
길거리 같이 걷는 연인들이 눈에 띄어
다들 오늘만 기다렸다는듯
나도 모르게 대입하게되 우리 모습
이런날 넌 뭘 하고 있을까
스치는 상상 거기 내가 있을까
날 어떻게 생각해 그게 제일 궁금해
니 맘에 들고파 너무 솔직해 미안해
하루종일 웃게 해주고싶지만
I don’t wanna be just funny friend
전활할까 문잘 보낼까 시간이 보채네
오늘은 꼭 널 봐야겠어
오늘 날씨가 마치 너
봄을 닮았어
우연히 내게 오나 봐
봄 향기가 보여
너도 같이 오나 봐
저 멀리서 네 향기가
설레는 코끝에 나의 입술에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄
흠 너와 얘기할 대화거릴 생각해
어색한 침묵 I hate
자연스럽게 그게 중요해
너무 과하거나 소극적인 태돈 fail
부담주기 싫어
딱 적당히 맘에 들 정도만
talk to me
기회만 줄래
I’m ready yeah I’m prepared
promise I always keep with me
너가 옆에 있다면 올해 생일선물 같은건
안 받아도 될것같은데
따사론 햇빛 움츠린 마음 녹아내리게해
푹신한 구름 폭죽소리 popping 샴페인
더 가까이 보고싶어 웃는얼굴
can we get closer
상상속 모습과 달리 현실은 루저
오늘이여해해 내일은 다를테니
I just want to say
고마워 내앞에 나타나줘서
꼭 말해야겠어
기다려줘 가고있어
우연히 내게 오나봐
봄 향기가 보여
너도 같이 오나 봐
저 멀리서 네 향기가
설레는 코끝에 나의 입술에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄
I love u so I need u
너무 쉬운걸
그래도 나 참고 있을게
난 여자이니까 하루 더 기다려
바보야 내게 말해 봐
네 마음도 보여
갖고 싶다고 해 봐
더 이상은 감추지 마
어느새 내 앞에 이젠 내 앞에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄"
5,한 사람을 사랑했네,한경일,"그런 슬픈 얼굴 하지마 괜찮아질꺼야 나는
떠나갈땐 그냥 떠나가 뒤돌아 보지마 제발
너를 추억해 그리워 하는건
그냥 내겐 일상야 아무렇지 않아
허나 너를 그리며 눈감지 않아
고여있는 눈물이 흘러내릴까봐
한사람을 사랑했네 그리워 했네
그런 그녀가 떠나가네 웃음짓고 싶어
깊은 나의 절망을 그녀가 볼 수 없게
슬플 땐 다른 생각하며 살께
아파울 땐 아픔을 삼키면서 살께
나는 오히려 니가 너무 걱정돼
그사람에 곁에서 나를 그릴까봐
한사람을 사랑했네 그리워 했네
그런 그녀가 떠나가네 웃음짓고 싶어
깊은 나의 절망을 그녀가 볼 수 없게
걱정하지마 난 괜찮아 질꺼야
이런 날 지워버려 기억속에 니 삶에
한사람이 떠나가네 바라만 보네
그곳에 내가 남겨졌네 움직일 수 없어
울먹이는 어깨를 너에게 들킬까봐
나 끝내 가질 수 없을 너니까 워~
조금만 생각할게 조금만 지워갈게
내가 사랑했던 오직 한사람
이 세상 뒤로 할 때 한번쯤 생각할게
나를 그리워할 오직 한사람"
6,처음 느낌 그대로,김범수,"남다른 길을 가는 내게
넌 아무말 하지 않았지
기다림에 지쳐가는 것 다 알고 있어
아직 더 가야하는 내게
너 기대할 수도 없겠지
그 마음이 식어가는 것 난 너무 두려워
어제 널 보았을 때 눈 돌리던 날 잊어줘
내가 사랑하면 사랑한단 말 대신
차갑게 대하는걸 알잖아
오늘 널 멀리하며 혼자 있는 날 믿어줘
내가 차마 네게 할 수 없는 말 그건
사랑해 처음 느낌 그대로

어제 널 보았을 때 눈 돌리던 날 잊어줘
내가 사랑하면 사랑한단 말 대신
차갑게 대하는걸 알잖아
오늘 널 멀리하며 혼자 있는 날 믿어줘
내가 차마 네게 할 수 없는 말 그건
사랑해 처음 느낌 그대로"
7,애인 있어요,정승환,"아직도 넌 혼잔 거니
물어보네요 난 그저 웃어요
사랑하고 있죠
사랑하는 사람 있어요
그대는 내가 안쓰러운 건가 봐
좋은 사람 있다며
한번 만나보라 말하죠
그댄 모르죠
내게도 멋진 애인이 있다는 걸
너무 소중해 꼭 숨겨두었죠
그 사람 나만 볼 수 있어요
내 눈에만 보여요
내입술에 영원히 담아둘 거야
가끔씩 차오르는 눈물만 알고있죠
그 사람 그대라는걸
나는 그 사람 갖고 싶지 않아요
욕심나지 않아요
그냥 사랑하고 싶어요
그댄 모르죠
내게도 멋진 애인이 있다는 걸
너무 소중해 꼭 숨겨두었죠
그 사람 나만 볼 수 있어요
내 눈에만 보여요
내입술에 영원히 담아둘 거야
가끔씩 차오르는 눈물만 알고있죠
그 사람 그대라는걸
알겠죠 나 혼자 아닌걸요
안쓰러워 말아요
언젠가는 그 사람 소개할게요
이렇게 차오르는 눈물이 말하나요
그 사람 그대라는걸"
8,포옹,세븐틴,"몰래 웃고 몰래 울고
내 모습을 숨기면서
버거운 듯 하루를 보내고
오늘도 겉으로는 말 못 한
마음속으로만 되새긴
힘들어
힘들어
힘들어
힘들 때면 나에게로
안겨도 돼 나도 같아
숨기고 숨겨도
가려지지 않는단 걸 알잖아
우리 서로는 웃을 수 있게
미안하지 마
걱정하지 마
무서워하지 마
이젠 울지 마
나에게는 넌
한없이 너무도 소중한 걸
오늘 하루도 힘들었을
너에게 말해줄래
내가 있다고
수고했다고
사랑한다고
꽉 안아준다고
힘들 때면 나에게로
안겨도 돼 나도 같아
숨기고 숨겨도
가려지지 않는단 걸 알잖아
우리 서로는 웃을 수 있게
미안하지 마
걱정하지 마
무서워하지 마
이젠 울지 마
나에게는 넌
한없이 너무도 소중한 걸
오늘 하루도 힘들었을
너에게 말해줄래
내가 있다고
수고했다고
사랑한다고
꽉 안아준다고"
9,안 된다는 말보다 늦었다는 그 말이 더 아파,허성정,"날 바라보던 너의 눈빛
미처 모르고 지나친 네 마음
꼭 한 박자 늦게 너를 봤을 땐
이미 네 맘은 내가 아닌 딴 곳에
안 된다는 말보다
늦었다는 그 말이 아파
싫다는 말보다 너도 좋아했었다는 말
그 말이 가슴 깊이 박혀 놓지도 못해
어긋나버린 사랑
수없이 오고 갔던 문자
밤새워 통화하며 나눈 이야기
너와 나의 거린 좁혀지지 못해
기대하고 또 실망하게 돼
안 된다는 말보다
늦었다는 그 말이 아파
싫다는 말보다 너도 좋아했었다는 말
그 말이 가슴 깊이 박혀 놓지도 못해
널 바라만 보는 나야
우린 분명 같은 하늘 아래 있는데
너와 난 다른 시간 속에 사는 것 같아
네가 다른 사람 손을 잡아도
아무 말도 하지 못하는 난데
안 된다는 말보다
늦었다는 그 말이 아파
싫다는 말보다 너도 좋아했었다는 말
그 말이 가슴 깊이 박혀 놓지도 못해
아직 바라만 보는 나야
사랑인 줄 모르고
이제 와서 뒤늦게 울어
한 걸음 가 봐도 또 그만큼 너는 멀어져
시간을 돌릴 수 있다면 먼저 안을게
안된다는 거 나도 알아"
