,제목,가수,가사
0,Falling,런치송 프로젝트,"['알고 있었어 너의 마음에', '다른 사람 있다는 걸', '상관 없었어 나의 마음은', '이미 너로 향하고 있는 걸', 'Falling 사랑에 빠졌어', '내 맘이 맘대로 되질 않아', 'Falling 니 생각만 나', '너무 아찔한 기분이야', '재밌지도 않고 나쁘지도 않았던', '큰 변화 없던 나의 생활이', '널 만난 후 부터 욕심이 생겼지', '하나하나 다 잘 하고 싶어', 'Falling 사랑에 빠졌어', '내 맘이 맘대로 되질 않아', 'Falling 니 생각만 나', '너무 아찔한 기분이야', '언제까지 내 맘을 숨길 수 있을까', 'Deep in my heart', 'Falling 사랑에 빠졌어', '내 맘이 맘대로 되질 않아', 'Falling 니 생각만 나', '너무 아찔한 기분이야', '너에게 빠져 버린 나', '니가 매일 보고 싶어']"
1,I Believe,이수영,"['그대 그 약속을 기억하고 있을까요', 'I believe I believe I believe', '많이 변했을 내 모습을 알아볼까요', 'and I believe I believe I believe', '네가 떠나간 날 너의 빈 책상 위에', '새겨져 있던 그 말을 난 기억해요', '오늘이 바로 그대 약속한 그날인걸요', '오지 못할 거란 걸 알고 있어', '앞으로도 영원히 볼 수 없다는 것을', '이젠 이 세상에', '너란 사람은 없는 거니', '내가 잘못 안 것이길 빌고 있어', '우리 약속한 이곳에서', '처음부터 운명이란 걸 난 느꼈어요', 'I believe I believe I believe', '친근한 말 한마디조차 한 적 없지만', 'and I believe I believe I believe', '슬픈 그대 얼굴 이유를 알았을 때', '애써 담담한 표정만 짓고 있었죠', '연락하기로 해 웃으며', '말하던 너는 어디 있니', '오지 못할 거란 걸 알고 있어', '앞으로도 영원히 볼 수 없다는 것을', '이젠 이 세상에', '너란 사람은 없는 거니', '내가 잘못 안 것이길 빌고 있어', '우리 약속한 이곳에서']"
2,차라리 너를 더 미워하는 게,여은,"['익숙한 그 거리 걷다보면', '널 닮은 사람만 찾아', '다른 사람들 모두 행복한데', '나만 왜 나만 이런지', '이 자린 그대론데', '너만 내 곁으로 오면 되는데', '차라리 너를 더 미워하는 게', '가끔씩 그게 더 편할 것 같아', '니가 없는 자리 자꾸 서성이다', '혼자서 또 눈물만 흘리는 나야', '자꾸만 멍하니 그냥 있어', '아무것도 하지 못해', '친구들속에 웃는 내모습이 슬퍼', '그냥 다 답답해', '아직도 선명하게 보여', '함께했던 그날 그때가', '차라리 너를 더 미워하는 게', '가끔씩 그게 더 편할 것 같아', '니가 없는 자리 자꾸 서성이다', '혼자서 또 눈물만 흘리는 나야', '하루하루가 점점 더 힘들어', '눈물만 한숨만 남아있는 나잖아', '이제는 너를 보내야하나봐', '다시는 오지 않을 너이기에', '혼자 남은 하루 익숙해져야돼', '이제는 지워야만 하는걸 알아']"
3,그리워만 해 너를 (feat. 밈 (mim)),한경일,"['그때의 우린 정말 아름답던 시간속에서', '서로만 보고 사랑했었어 우리', '눈물이 자꾸나 한숨만 자꾸나', '너 하나없는 나의 하루', '이렇게도 혼란스러워', '그리워만 해 너를', '시간이 멈춘듯해 그때의 시간속에 살아', '꺼내어 보고 떠올려보는 나야', '눈물이 자꾸나 한숨만 자꾸나', '너 하나없는 나의 하루', '이렇게도 혼란스러워', '그리워만 해 너를', '오늘따라 마음이 무거워', '혼란스러운 하루야', '모든게 궁금해 생각이 멈추지 않아', '어떻게해야 널 잊겠니', '눈물이 자꾸나 한숨만 자꾸나', '너 하나없는 나의 하루', '이렇게도 혼란스러워', '그리워만 해 너를']"
4,선샤인 (Sunshine),태욱,"['햇볕 내리쬐는 오후 나를 보러 와 준 너', '덥지도 않은지 내 손 꽉 잡은', '네 얼굴이 너무 좋아', '매번 보는 얼굴 뭐가 그리도 좋은 건지', '해맑게 웃으며 날 바라보는', '네 얼굴이 너무 예뻐', '잔뜩 붉어진 너의 얼굴을', '살짝 꼬집고', '나도 모르게 말해버렸지', '나는 네가 너무 좋아', '너는 나의 sun sun sun sunshine', '내 마음을 비추는 햇살', '다가와서 내 맘 훔쳐버렸어', '너는 나의 시원시원한 바람', '내 마음을 살랑살랑 간지럽힌', '그댄 나만의 Sunshine', '물결 치듯 네가 내게 다가와 스며들고', '저 하늘 햇살보다', '더 눈부신 활짝 웃는 너의 얼굴', '만날때마다 뭘 좋아하냐며', '묻는 너에게', '장난스레 건넨 나의 대답', '나는 그냥 네가 좋아', '너는 나의 sun sun sun sunshine', '내 마음을 비추는 햇살', '다가와서 내 맘 훔쳐버렸어', '너는 나의 시원시원한 바람', '내 마음을 살랑살랑 간지럽힌', '그댄 나만의 sunshine', '쏟아지는 햇살처럼', '날바라보는 너의 웃음에', '온종일 설레여', '너는 나의 sun sun sun sunshine', '내 마음을 비추는 햇살', '다가와서 내 맘 훔쳐버렸어', '너는 나의 시원시원한 바람', '내 마음을 살랑살랑 간지럽힌', '그댄 나만의 Sunshine', '그댄 나만의 Sunshine']"
5,긴 밤,조예운,"['잠이 오지 않는 이 밤', '난 또 생각들만 늘어가', '내가 하고 싶은 건 뭘까', '매일 내게 물어 내 맘을 어지럽혀', '가장 나다운 게 뭘까', '내가 꾸는 꿈은 뭘까', '길고 긴 이 밤이 끝나지 않길', '바라고 또 바라는 난데', '늦지 않았을까', '어렵지 않을까', '내게 매일 물었던 날들이', '이 밤이 그냥 지나쳐 가지 않게', '오늘도 난 나를 위로해 괜찮다고', '내가 가는 길은 뭘까', '너무 어둡진 않을까', '길고 긴 이 밤 끝에서 난', '아직 꿈을 찾는 게 두려워', '늦지 않았을까', '어렵지 않을까', '내게 매일 물었던 날들이', '이 밤이 그냥 지나쳐 가지 않게', '오늘도 난 나를 위로해', '안될 것만 같고', '두렵기만 해도', '포기 하고 싶지는 않은데', '늦지 않았을까', '어렵지 않을까', '수 없이 고민 했었던 날들이', '이 밤이 그냥 지나쳐 가지 않게', '오늘도 난 나를 위로해', '괜찮다고', '괜찮다고 나를 위로해']"
6,겨울밤,All the Way,"['유난히 가슴 시린 밤', '그대 생각하고 싶은 밤', '그대 내 곁에 이제 없지만', '날 미소 짓게 만드네', '처음 그대 만난 날', '처음 말을 건넨 날', '수줍은 목소리 내 마음 가진 날', '처음 고백했던 날', '처음 손잡았던 날', '가슴 설레어서 잠 못 들던 날', '유난히 가슴 시린 밤', '그때 꺼내 보고 싶은 밤', '그대 내 곁에 이제 없지만', '날 더 아프게 만드네', '처음 화를 냈던 날', '처음 그대 울린 날', '그게 미안해서 밤을 지새운 날', '처음 그대 속인 날', '이별을 말했던 날', '그대 외면하고 돌아섰던 날', '유난히 가슴 시린 밤', '그대 생각하고 싶은 밤', '그대 생각나는 겨울밤']"
7,그러다 보니 늘 혼자인 사람,이하늘,"['이 사람 싫고 저 사람 싫고', '이래서 싫고 또 저래서 싫고', '그러다 보니 늘 혼자인 사람', '웃는 모습은 네가 예뻤고', '실없는 농담도 네가 웃겼고', '다정한 말투도 네가 더 어울렸지', '누구든 너와 비교하니까', '모두 다른 사람들인데', '각자 아름다운 사람일 텐데', '보이지 않으니까', '아직 너만 예뻐 보여서', '그러다 보니 늘 혼자인 사람', '이래도 좋고 저래도 좋던', '너밖에 모르던 그 시절에는', '너 하나 담기에 바쁜 나날이었지', '그렇게 웃던 날이 없었지', '너와 함께한 그 순간에는', '입가에 미소가 마를 날 없었지', '누구든 너와 비교하니까', '모두 다른 사람들인데', '각자 아름다운 사람일 텐데', '보이지 않으니까', '아직 너만 예뻐 보여서', '그러다 보니 늘 혼자인 사람', '아마 내일도 또 혼자일 사람', '너 돌아오기 전까지', '그 어떤 사람보다 너니까', '너만 계속 생각나니까', '내겐 아름다운 사람 너니까', '너만 보던 그 시절', '나만 아직 그때에 살아', '그러다 보니 늘 혼자인 사람']"
8,햇살,서화,"['이른 봄', '바람결이 우리를 스칠 때', '살며시 귓가에 들어온 소리에', '여름날', '온기 가득했던 오후 모래 해변', '잔잔한 파도와 걷던 우리', '늦가을', '오늘은 날씨가 춥다며', '따뜻한 방안에서 뒹굴던 하루', '한겨울', '스쳐 지나갔던 작은 시화 골목', '소박한 사연과 나란히 걷던 우리', '나만을 가득가득히 채운 일상에', '조금씩 몰래 한숨을 돌리던', '그대를 마음껏 쉬게 만드는 햇살', '재미도 없는 농담에 때론', '갑자기 공기가 싸늘해질 때도', '그대를 마음껏 웃게 만드는 햇살', '재미도 없는 농담에 때론', '갑자기 공기가 싸늘해질 때도', '그대를 마음껏 웃게 만드는 햇살', '마음껏 웃게 만드는 햇살']"
9,연의 굴레,JiNNY (真熙),"['기억처럼 내게 웃어줘', '그때처럼 나를 보아주기를', '차갑기만 한 싸늘히 식은', '그대의 모습이 떠올라서', '다가갈 수도 내 닿을 수도', '없어서 눈물만 하염없이', '돌아선 그대 모습', '눈처럼 시려서', '내 차마 그 손을 잡을 수 없구나', '우릴 이어주던 붉은 실이', '끊어져 그대로 져', '이미 끝난 뒷모습을', '나 바라볼 뿐', '기억처럼 내게 웃어줘', '그때처럼 나를 보아주기를', '흰 눈이 녹아', '흐드러진 꽃들', '그럼에도 나를', '너는 결코 돌아보지 않는구나', '돌아선 그대 모습', '눈처럼 시려서', '내 차마 그 손을 잡을 수 없구나', '우릴 이어주던 붉은 실이', '끊어져 그대로 져', '이미 끝난 뒷모습을', '나 바라볼 뿐', '안녕']"
