,가수,노래 제목,노래 가사
0,스텔라장 (Stella Jang),Dear My,오늘도 나는 그대와 함께 걷던 길을 걷고 그대가 좋아한 것들로 나를 꾸며 봤어요 그대를 마주치면 또 어떻게 할 지를 몰라 혹시나 하는 마음에 또 전화기만 봤어요 Dear my love 우리 사랑했던 것만 생각해줘 난 말이죠 이 밤을 꼴딱 새도 괜찮아요 예쁜 그대 얼굴 그리고 목소리가 듣고 싶어요 Dear my love 우리 사랑했던 것만 생각해줘 난 말이죠 이 밤을 꼴딱 새도 괜찮아요 예쁜 그대 얼굴 그리고 목소리가 듣고 싶어요 눈물이 툭 나도 모르게 또 떨어지네요 보고 싶은 마음이란게 이런 걸 알았더라면 나는 그대를 절대로 보내지 않았을텐데 나는 그대를 절대로 보내지 않았을 텐데 보내지 않았을 텐데 보내지 않았을 텐데 보내지 않았을 텐데
1,전상근,꽃이 질 때,느끼지 않나요 우리 서로를 바라보는 눈이 예전 같지 않다는 걸 아프진 않나요 우리 꼭 잡고 안 놔주던 손이 갈 곳이 없어 편하단 게 요즘 서로 눈이 마주칠 때면 아무렇지 않게 고개를 돌리고 자주 했던 사랑한단 말들도 이젠 하지 않고 이별을 바라요 우리 덤덤하게 이별을 준비해요 서로 없어 못 살고 힘들어하는 그런 행동은 하지 마요 피어 오던 꽃이 자연스레 질 수 있도록 서로의 맘에 한발짝 물러나요 요즘 서롤 궁금해하지 않아도 아무렇지 않게 하루를 보내고 잠들 때면 잘 자라는 말들도 이젠 하지 않고 이별을 바라요 우리 덤덤하게 이별을 준비해요 서로 없어 못살고 힘들어 하는 그런 행동은 하지 마요 피어 오던 꽃이 자연스럽게 질 수 있도록 서로의 맘에 한 발짝 물러나요 마주친 눈에 사랑하냐고 묻지 말아요 우리 덤덤하게 이별을 준비해요 서로 없어 못살고 힘들어 하는 그런 행동은 하지마요 피어 오던 꽃이 자연스럽게 질 수 있도록 서로의 맘에 한발짝 물러나요
2,씨야,유죄,어디서부터 손을대야 내맘 곳곳에 박혀있는 너를 꺼내낼까 얼마나 더 울어야 눈물에 섞여 너의 기억이 흘러갈까  내 가슴속을 쓸고 또 닦아내도 또 다시 와 어지르는 너  허락도 없이 나의 마음을 가져간 죄 너를 용서치 못해 보내지 못해 영원히 그 댓가로 내안에 살아야해 사랑해서는 안될 사람을 사랑한 죄 나도 갖고 있잖아 아파하잖아 죽도록 한사람만 너를 그리워하면서  사랑이란건 그런가봐 항상 더 사랑한 사람이 죄인인건가봐 이세상 가장 나쁜 그리움이란 벌을 받아야만 하니까  늘 가슴속에 여미RH 또 여며도 또 다시 와 흐트리는 너  허락도 없이 나의 마음을 가져간 죄 너를 용서치 못해 보내지 못해 영원히 그 댓가로 내안에 살아야해 사랑해서는 안될 사람을 사랑한 죄 나도 갖고 있잖아 아파하잖아 죽도록 한사람만 너를 그리워하면서  내맘속에 또 니가 왔나봐 눈물이 또 흐르는걸 보면 ..  너를 원하고 사랑한다는 그 이유로 매일 아프게 산대도 나의 가슴은 영원히 너를 놓지 못해 너를 지워버리면 잊어버리면 그때는 지금보다 더 큰 죄가 될테니까  나를 살게한 너니까 -
3,최재훈,고마워요,고마워요 아침마다 전화해서 나를 깨워주며 사랑한다며 힘내라면서 누구보다 날 아껴줬어요 고마워요 세상 일이 뜻대로 안돼서 눈물이 복받칠 때면 술잔을 함께 기울여 주며 끝까지 옆에서 날 지켜줬어요 바쁘단 핑계로 그댈 외롭게 했을 때에도 바보처럼 그댈 울리고 힘들게 해도 내가 이 세상에서 제일 멋진 남자라며 영웅처럼 나를 떠받드는 그대를 어떻게 다 갚을까요 사랑의 다른 이름은 그대란 걸 가슴 속 깊이 배워 가는데 너무 가진 게 없어 잘해주지 못하는 나 이런 내가 너무 미워져요  고마워요 잊지 않고 부모님 생일을 나 대신 꼭 챙겨 줘서 그대 덕분에 부족한 내가 효자란 소리를 들으며 살아요 바쁘단 핑계로 그댈 외롭게 했을 때에도 바보처럼 그댈 울리고 힘들게 해도 내가 이 세상에서 제일 멋진 남자라며 영웅처럼 나를 떠받드는 그대를 어떻게 다 갚을까요 사랑의 다른 이름은 그대란 걸 가슴 속 깊이 배워 가는데 너무 가진 게 없어 잘해주지 못하는 나 이런 내가 너무 미워져요 사랑해요 그대  고마워요
4,솔지,어떤가요 (나한테 걸리면 마이아파~ 동막골소녀),어떤가요 내 곁을 떠난 이후로 그대 아름다운 모습 그대로 있나요 아직까지 당신을 잊는다는 게 기억 저편으로 보낸다는 게 너무 힘이 드는데 하루 종일 비 내리는 좁은 골목길에 우리 아끼던 음악이 흐르면 잠시라도 행복하죠 그럴 때면 너무 행복한 눈물이 흐르죠 가끔씩은 당신도 힘이 드나요 사람들에게서 나의 소식도 듣나요 당신 곁을 지키고 있는 사람이 그댈 아프게 하지는 않나요 그럴 리 없겠지만 이젠 모두 끝인가요 정말 그런가요 우리 약속했던 많은 날들은 나를 사랑했었나요 아닌가요 이젠 당신에겐 상관없겠죠 알고 있어요 어쩔 수 없었다는 걸 나만큼이나 당신도 아파했다는 걸 이젠 모두 끝인가요 이젠 모두 끝인가요 정말 그런가요 우리 약속했던 많은 날들은 나를 사랑했었나요 아닌가요 이젠 당신에겐 상관없겠죠 이젠 모두 끝인가요 정말 그런가요 우리 약속했던 많은 날들은 나를 사랑했었나요 아닌가요 이젠 당신에겐 상관없겠죠 듣고있나요 우습게 들릴 테지만 난 변함없이 아직도 그대를
5,Apink (에이핑크),너의 모든 순간을 사랑해,아직은 모를 거야 아마도 얼마나 소중한 너인지 네 속의 너만은 잊지 않길 바래 너의 모든 순간 순간을 이렇게 네게 말하면 알 수 있을까 네가 걸어온 길들이 아름답단 걸 잠시 멈춰 돌아보면 알 거야 네가 남긴 예쁜 순간들을 너의 한순간 순간 모두 너인걸 너 서 있는 그곳이 나 어디든 아프지 않게 내가 안아줄게 네가 날 안아준 그 날처럼 너의 그 순간 순간 모두 사랑해 나 네 옆에 없는 날이 온대도 작은 기억으로 네게 남는대도 나 괜찮아 모두 네 순간인걸 가끔 지금이 그리워지면 어떨까 나 아마도 네 생각에 웃고 있겠지 함께였던 우리 지나온 날들 내게 있어서 참 다행이야 너의 한순간 순간 모두 나인걸 너 서 있는 그곳이 나 어디든 아프지 않게 내가 안아줄게 네가 날 안아준 그날처럼 늘 그날처럼 내 인생에 행복을 남겨준 널 만나 감사해 나 어떤 어려운 일들이 와도 지금을 기억할게 언제나 우린 함께일 거야 지금 이 순간 순간 모두 기억해 우리 함께 찾아낸 이 행복이 아프지 않게 널 안아줄 거야 언제나 서로가 그랬듯이 너와 함께 한 날들 순간이 되고 늘 함께 한 날들 모두 떠나도 서로의 순간이었던 우리 지난날들을 사랑해 매 순간 순간
6,소향,첫눈처럼 너에게 가겠다 (월영교 버스킹 Ver.),널 품기 전 알지 못했다 내 머문 세상 이토록 찬란한 것을 작은 숨결로 닿은 사람 겁 없이 나를 불러준 사랑 몹시도 좋았다 너를 지켜보고 설레고 우습게 질투도 했던 평범한 모든 순간들이 캄캄한 영원 그 오랜 기다림 속으로 햇살처럼 네가 내렸다 널 놓기 전 알지 못했다 내 머문 세상 이토록 쓸쓸한 것을 고운 꽃이 피고 진 이곳 다시는 없을 너라는 계절 욕심이 생겼다 너와 함께 살고 늙어가 주름진 손을 맞잡고 내 삶은 따뜻했었다고 단 한번 축복 그 짧은 마주침이 지나 빗물처럼 너는 울었다 한번쯤은 행복하고 싶었던 바람 너까지 울게 만들었을까 모두 잊고 살아가라 내가 널 찾을 테니 네 숨결 다시 나를 부를 때 잊지 않겠다 너를 지켜보고 설레고 우습게 질투도 했던 네가 준 모든 순간들이 언젠가 만날 우리 가장 행복할 그날 첫눈처럼 내가 가겠다 너에게 내가 가겠다
7,허각,나를 사랑했던 사람아 (Remastered),잘 지내고 있는 건지 무슨 일 없는지 지겹던 너의 잔소리가 너무 그리워서 그렇게 나 하나밖에 모르던 너인데 나 없이도 괜찮은지 하루에 수백 번씩 나 후회를 하고 네가 없다는 걸 느끼며 나 매일을 살아 널 위해 내가 떠나야 하는 게 맞지만 난 널 잊고 살 순 없는가 봐 나를 사랑했던 사람아 이젠 곁에 없지만 아직 잊지 못하고 너를 잊지 못하고 그저 한 번이라도 다시 볼 수 있다면 볼 수만 있다면 다시 널 볼 수 있다면 너무나도 아프고 잊을 수가 없어 하루에도 몇 번씩 하던 너의 그 투정이 웃으며 내 품에 안겨서 날 보던 모습이 헤어지던 날 너의 두 눈이 나를 사랑했던 사람아 이젠 곁에 없지만 아직 잊지 못하고 너를 잊지 못하고 그저 한 번이라도 다시 볼 수 있다면 널 볼 수만 있다면 네가 있어서 나는 항상 웃을 수 있었고 네가 있기에 내가 가장 행복했었고 너로 인해 내 삶도 살아볼 만했었어 내가 너무도 사랑했던 사람아
8,진호 (펜타곤),이 순간을 간직해,I just wanna be with you 내 맘에 피어나 I just wanna look inside 너도 같은지 나와 우리 사이 피어나는 따뜻했던 미소처럼 맑은 하늘 아래 우리 둘 서로 눈을 맞추고 기도해 이 순간들이 영원하길 I pray I pray for you 항상 네가 웃어주길 I just want to say 난 빛나는 너와 이 순간을 간직할래 우리의 꿈들을 너와 함께한 지금 눈이 부시도록 아름다운 너 항상 날 미소 짓게 해 날 보며 웃는 그 얼굴 그냥 마냥 행복해 바람에 흔들리는 네 머릿결 그 향기가 내 맘도 흔든다 I pray I pray for you 항상 네가 웃어주길 I just want to say 난 빛나는 너와 이 순간을 간직할래 우리의 꿈들을 서투른 날 따뜻하게 환하게 웃으며 보듬어준 나의 그대 Stay with me forever I pray I pray for you 항상 네가 웃어주길 I just want to say 난 빛나는 너와 이 순간을 간직할래 우리의 꿈들을
9,퀸덤2,지나온 (Epilogue),우리 처음 만났던 그날부터 한 순간도 잊은 적 없죠 따스하게 날 바라보면서 미소 지어 주던 너 내겐 큰 힘이 됐죠 때로는 바람에 나의 작은 숨결이 조금씩 흔들리기도 했죠 그럴 때면 햇살처럼 살며시 내게 다가와 환하게 날 비춰주던 모습이 떠올라 지나온 이 여행 끝에 함께 걷던 모든 순간 같은 곳을 바라보던 맘 간직하기로 해 지나온 이 시간 속에 새겨논 추억 모두 다 영원히 반짝이고 있단 걸 기억해 기억해 돌이켜 보면 마치 꿈만 같던 믿기지 않는 일들 내게 가득한걸 아름다웠던 날들 기분 좋은 웃음들 우리의 이야기가 가득한걸 때론 힘겨워 숨죽여 울던 내게 넌 내게 다가와 토닥이며 말했죠 지나온 이 여행 끝에 함께 걷던 모든 순간 같은 곳을 바라보던 맘 간직하기로 해 지나온 이 시간 속에 새겨논 추억 모두 다 영원히 반짝이고 있단 걸 기억해 혹시 걷다 길을 잃을 때면 두 눈을 감고 내 손을 잡아 지나온 순간들을 딛어가며 한 걸음 한 걸음 나아 가기로 해 I’M GONNA BE WITH YOU I’M GONNA BE WITH YOU 영원히 빛날 수 있게 지나온 이 여행 끝에 함께 걷던 모든 순간 같은 곳을 바라보던 맘 간직하기로 해 지나온 이 시간 속에 새겨논 추억 모두 다 영원히 반짝이고 있단 걸 기억해 기억해
