,artist_name,song_name,lyric
0,윤종신,한 번 더 이별,"뒤돌아보면 너의 생각을
떠올린 게 언제였더라
숨 가쁘게 사는 건 무디게 했어
끝나지 않을 것만 같던 그리움
모른 척 너란 사람
묻어주던 친구들은
이제는 슬며시 네 안부 전하고
이젠 떨리지 않아 침착히
고개 끄덕인 나의 모습은
널 잊은 걸까
다시 못 보는 너 남의 사람인 너
견디기엔 미칠 것만 같던
이별의 그날들이 떠나가요
추억 넘어 그저 기억으로만
지나간 사람으로만
이제는 너라고 말하지 않겠어요
그 어디에 살더라도
제발 나쁜 안부 안 들리게
뒤돌아보면 그대 추억이
사라지면 비어 버리는
나의 계절들이 맘에 걸려도
그리움 멈추는 게 나는 좋아요
못 본 척 나의 눈물
가려주던 친구들은
이제는 웃으며 그 얘길 꺼내고
나도 웃음으로
받아줄 수 있었던 오늘
우리 한 번 더 이별할까요
다시 못 볼 그대
남의 사람 그대 견디기엔
미칠 것만 같던 이별의
그날들이 떠나가요
추억 넘어 그저 기억으로만
지나간 사람으로만
이젠 그대라고도
말하지 않겠어요
이제서야 안녕
한 번도 안 했던 말 안녕
다시 올 것 같던
나 혼자만의 오랜 기대였던
그날들이 내겐 필요했어요
많은 걸 깨닫게 했던 그 이별을
난 한 번 더 오늘 할게요
그 어디에 살더라도
제발 나쁜 안부 안 들리게"
1,김범수,사랑해요,"아무 말 못한 채
오늘도 그대만 바라봐요
가슴에 맺힌 못다한
얘기들이 그대를 기다리죠
한 걸음 다가서면
가슴 깊이 참았던
눈물이 흐를까봐
혹시 그대도 나와 같다면
조금씩 다가갈게요
그댈 보면 자꾸
눈물이 나요
한없이 흘러요
결국 내 마음만 아파요
참아왔던 그리움에 지치면
내 손을 잡아 봐요
그대 나 사랑해요
가끔은 소리없이
불어오는 바람에
귀를 기울여 봐요
그대 나를 부르는 소리가
바람에 실려 올까 봐
그댈 보면 자꾸
눈물이 나요
한없이 흘러요
결국 내 마음만 아파요
참아왔던 그리움에 지치면
내 손을 잡아 봐요
그대 나 사랑해요
하루를 견디다
너무 힘들면 찾을 사람
그게 나란 걸 그댄 알잖아요
그댈 생각하면
눈물이 나죠
또 웃음이 나죠
결국 내 사랑은 그대죠
간절하게 바라고 늘 바랬던
이렇게 그대 곁에
서서 사랑할래요"
2,"김필, 김예진",멀어지다,"어떻게 하죠
우리는 서로
아파하네요
멀어지네요
어떻게 하죠
우리는 점점 더
슬퍼하네요
멀어지네요
어쩌면 우린
사랑이 아닌
집착이었을까요
어쩌면 우린
사랑이 아닌
욕심이었나봐요
어떻게 하죠
우리는 서로
침묵하네요
멀어지네요
어쩌면 우린
사랑이 아닌
집착이었을까요
어쩌면 우린
사랑이 아닌
욕심이었나봐요
어쩌면 우린
사랑이 아닌
집착이었을까요
어쩌면 우린
사랑이 아닌
욕심이었나봐요
어쩌면 우린
사랑이 아닌
집착이었을까요
어쩌면 우린
사랑이 아닌
욕심이었나봐요
어쩌면 우린
운명이 아닌
우연이었을까요
아마도 우린
영원이 아닌
여기까지인가봐요"
3,임한별,희재,"햇살은 우릴 위해 내리고
바람도 서롤 감싸게 했죠
우리 웃음속에 계절은 오고 또 갔죠
바람에 흔들리는 머릿결
내게 불어오는 그대 향기
예쁜 두눈도 웃음 소리도
모두 다 내 것이었죠
이런 사랑 이런 행복 쉽다 했었죠
이런 웃음 이런 축복
내게 쉽게 올리 없죠
눈물 조차 울음조차 닦지 못한 나
정말로 울면 내가
그댈 보내 준 것 같아서
그대 떠나가는 그 순간도
나를 걱정했었나요
무엇도 해줄 수 없는 내 맘 앞에서
그대 나를 떠나 간다해도
난 그댈 보낸적 없죠
여전히 그댄
나를 살게 하는 이율테니
이런 사랑 이런 행복 쉽다 했었죠
이런 웃음 이런 축복
내게 쉽게 올리 없죠
눈물 조차 울음 조차 닦지 못한 나
정말로 울면
내가 그댈 보내 준 것 같아서
그대 떠나가는 그 순간도
나를 걱정했었나요
무엇도 해줄 수 없는 내 맘앞에서
그대 나를 떠나 간다해도
난 그댈 보낸적 없죠
기다림으로 다시 시작일테니
얼마나 사랑했는지
얼마나 또 울었는지
그대여 한순간 조차 잊지 말아요
거기 떠나간 그곳에서
늘 기억하며 기다려요
하루씩 그대에게 다가가는 나 일테니"
4,온앤오프 (ONF),I Do,"눈을 감아 지금
네 앞에 나를 마주한 채로
숨을 쉬어 천천히
내 품에 널 맡긴 채로
마음과 마음이 연결되면
우린 어디든 갈 수 있으니
손끝 세포부터 영혼까지
우린 하나가 될 거야
I do
심연 깊이 잠겨
색채를 잃어가던 시야가
너를 만나 다시
난 꿈을 꿀 수 있게 되었어
공간과 공간이 멀어져도
우린 서롤 느낄 수 있으니
지구 반대편에 있다 해도
우린 만날 수 있어
I do
진심이 전해지는 순간마다
너와 나의 우주는 더 넓어져
봐 어느새 저기 별이 빛나고 있어
더욱 번져가는 마음
you make me
feel the beautiful vibe
내가 너로 인해 바뀌어가
내 어깨에 기대어 편히 쉬어도 돼
I’ll be the only
you’re gentleman my lady
settle down
우리가 함께 결국
걸어갈 곳은 행복과
서로서로가 바라볼수록
점점 달아오르죠
고마워 가르쳐줘서
so will be forever
wherever anywhere together
우린 시간 위를 넘어
언제 어디든지 좋아
너와 나는 만날 거야
believe"
5,벤,나 항상 그대를,"나 항상 그대를 보고파 하는데
맘처럼 가까울 수 없어

오늘도 빛바랜 낡은 사진 속의
그대 모습 그리워하네

돌아와 그대 내게 돌아와
난 온통 그대 생각뿐이야

불같은 나의 사랑 피할 수 없어
그대여 내게
돌아와요


나 항상 그대를 그리워하는데
그대는 어디로 떠났나

다정한 그 모습 눈물로 여울져
그대여 내게 돌아와요

돌아와 그대 내게 돌아와
난 온통 그대 생각뿐이야

불같은 나의 사랑 피할 수 없어
그대여 내게
돌아와요


돌아와 그대
내게 돌아와
난 온통 그대 생각뿐이야

불같은 나의 사랑 피할 수 없어
그대여 내게 / 그대여 내게
그대여 내게

돌아와요

돌아와요"
6,다비 (DAVII),사랑이 지나가면,"그 사람 나를 보아도
나는 그 사람을 몰라요
두근거리는 마음은 아파도
이젠 그대를 몰라요
그대 나를 알아도
나는 기억을 못 합니다
목이 메어와 눈물이 흘러도
사랑이 지나가면
그렇게 보고 싶던 그 얼굴은
그저 스쳐 지나면
그대의 허탈한 모습 속에
나 이젠 후회 없으니
그댄 나를 알아도
나는 기억을 못합니다
목이 메어와 눈물이 흘러도
사랑이 지나가면
그렇게 보고 싶던 그 얼굴은
그저 스쳐 지나면
그대의 허탈한 모습 속에
나 이젠 후회 없으니
그댄 나를 알아도
나는 기억을 못합니다
목이 메어와 눈물이 흘러도
사랑이 지나가면
사랑이 지나가면"
7,김현철,그대 내게 행복을 주는 사람,"내가 가는 길이 험하고 멀지라도
그대 함께 간다면 좋겠네
우리 가는 길에 아침햇살 비추면
행복하다고 말해 주겠네

이리저리 둘러봐도 제일 좋은건
그대와 함께 있는것 -

그대 내게 행복을 주는 사람
내가 가는 길이 험하고 멀지라도
그대 내게 행복을 주는 사람

때론 지루하고 외로운 길이라도
그대 함께 간다면 좋겠네
때론 즐거움에 웃음짓는 나날이어서
행복하다고 말해주겠네

이리저리 둘러봐도 제일 좋은건
그대와 함께 있는것 -

그대 내게 행복을 주는 사람
내가 가는 길이 험하고 멀지라도
그대 내게 행복을 주는 사람

이리저리 둘러봐도 제일 좋은 건
그대와 함께 있는 것 -

그대 내게 행복을 주는 사람
내가 가는 길이 험하고 멀지라도
그대 내게 행복을
그대 내게 행복을 주는 사람

그대 내게 행복을 주는 사람 -"
8,김형중,연인(戀人),"잊는다는게 지운다는게
이렇게 힘이 들 줄 몰랐어
어딜 봐도 어느 곳에 있어도
온통 너의 기억 뿐인걸
넌 괜찮은거니 벌써 잊은거니
나처럼 너도 많이 힘드니
애써 봐도 다른 누굴 만나도
나처럼 너도 날 생각하니
가끔 니 사진을 보며 웃곤 해
나 없는 곳에서 잘 지내냐고
널 잊어버리려 너를 지워버리려
아무리 해봐도 널 지울 수 없어
너를 닮은 누군가를 만나서
너의 모습을 찾진 않을까 그게 두려워
가끔 니 사진을 보며 생각해
이렇게 힘들 줄 난 몰랐어 워우워
널 잊어버리려 너를 지워버리려
아무리 해봐도 널 지울 수 없어
이제야 느껴 너의 짜증까지도
내게 얼마나 소중했는지
널 잊어야만 해 너를 지워야만 해
다시 되돌릴 수 없다는 걸 잘 알기에
어느 곳에서 어느 누굴 만나도
그런 사랑은 다시 없을 것 같아
그게 두려워 난 그게 두려워"
9,김윤아,"사랑, 지나고 나면 아무 것도 아닐 마음의 사치","사랑 빛나던 이름 그리운 멜로디
아련히 남은 상처 지울 수 없을

사랑 지나고 나면
아무것도 아닐 그 마음의 사치에
그는 더운 가슴도 찬란한 청춘도
내일이 없는 듯이 소모해버리고

그의 마음엔 온기가 남지 않고
그의 두눈엔 눈물이 남지 않고


사랑 지나고 나면
아무것도 아닐 그 마음의 사치에
가진 모든것을 다 소모해버리고
그에겐 아무것도 남지 않았지

그 날 이후 나는 죽었소
눈물 대신 말을 그는 토하고
피도 살도 영혼도 내겐 남지 않았소
죽지 않은것은 나의 허물 뿐

사랑 사랑 사랑 사랑 지나고 나면
아무것도 아닐 그 마음의 사치에
가진 모든것을 다 소모해버리고
그에겐 아무 것도 남지 않았지
남지 않았지 남지 않았지

사랑 지나고 나면 아무것 아닌것을
사랑 지나고 나면 아무것 아닌것을 -"
