,가수,노래 제목,노래 가사
0,"현진옥, 주찬",엄마와 아들,사랑하는 내 아들아 내 아들이 되어줘서 고맙구나 엄마는 너를 볼때마다 미안하고 미안하단다 사랑하는 내 어머니 오늘까지 길러줘서 감사해요 세상살이 힘들어도 눈물로서 견디셨던 내 어머니 내 아들아 너는 하늘에서 내려주신 선물이란다 어머님은 내게 세상에서 가장 크신 축복입니다 사랑하는 내 아들아 사랑하는 내 어머니 이 생명 다 하는 날까지 이 생명 다 하는 날까지 우리 사랑 영원히 영원하리라 내 아들아 너는 하늘에서 내려주신 선물이란다 어머님은 내게 세상에서 가장 크신 축복입니다 사랑하는 내 아들아 사랑하는 내 어머니 이 생명 다 하는 날까지 이 생명 다 하는 날까지 우리 사랑 영원히 영원하리라 영원하리라
1,별단 (BYULDAN),Goodnight,오늘 하루를 끝마치고 지친 몸을 침대에 눕혀 흘러가는 시곗바늘 소리에 멍하니 난 하늘만 보네 아무 생각없이 마음편히 잠에 든 날이 언제인지를 아무 생각없이 하룰 보낼수가 있기를 난 바래 모든걸 잊고 노랠 듣고서 눈을 감은채 잠에 들어요 이 멜로디가 널 달래주기를 오늘따라 길어진 새벽 이상하게 잠은 안오고 내 울적함 을 달래 보려 난 멜로디를 흥얼 거리네 정신없이 보낸 나의 길을 잃은 하루가 또 흘러가고 슬플틈도 없이 내게 다가오는 지겨운 내일들 모든걸 잊고 노랠 듣고서 눈을 감을채 잠에 들어요 이 멜로디가 널 달래주기를 네가 잠에 들 때까지
2,김의중,미안해 잘해주지 못해서,저 멀리 걸어가는 뒷모습에 눈을 감아요 마지막이라는 그 한마디가 떠난 후에도 계속 맴돌죠 그대를 못 지우는 일 그대를 못 보내는 일 아직 나에게는 당연한 거죠 미안해 다 하지 못했던 말 이제야 하죠 그대 없는 자리에 쓸쓸히 남아 시간이 널 멀리 데려가도 그대 흔적이 남아서 내 가슴이 그대를 찾죠 사랑했었다는 말 왜 이렇게 눈물이 나죠 나 아직 그대를 놓지 못하는데 추억 속에서만 살겠죠 그대가 날 밀어내요 그대가 날 떠나가요 아직 나에게는 버거운 거죠 미안해 다 하지 못했던 말 이제야 하죠 그대 없는 자리에 쓸쓸히 남아 시간이 널 멀리 데려가도 그대 흔적이 남아서 내 가슴이 그대를 찾죠 외면하려 해도 눈 감아봐도 아직 네 모습 선명한데 떠나가지 마요 내 손을 다시 잡아줘 널 기다리는 내게 다 하지 못 했던 말 이제야 하죠 그대 없는 자리에 쓸쓸히 남아 너를 기다려 내 곁을 떠나가도 그대 흔적이 남아서 내 가슴이 그대를 찾죠
3,조순종,푹,처음 너를 보고 설레던 내가 낮설었던 지난 밤이 자꾸 생각나네 너의 표정과 그 미소 너의 뒷 모습까지도 절대 잊고 싶지않아 그 때 마주친 너의 눈 빛이 내겐 의미가 되고있는걸 넌 알기나할까 이제는 널 다시 한번 더 볼 수만 있다면 너에게 달려 갈텐데 우 아무래도 나 너에게 푹 빠져버렸어 우 아무래도 나 사랑이 시작 되버렸나 봐 우 아무래도 나 너에게 고백할까 봐 우 아무래도 나 오늘 밤에도 그리워해 그 때 마주친 너의 눈 빛이 내겐 의미가 되고있는걸 넌 알기나할까 이제는 널 다시 한번 더 볼 수만 있다면 너에게 달려 갈텐데 우 아무래도 나 너에게 푹 빠져버렸어 우 아무래도 나 사랑이 시작 되버렸나 봐 우 아무래도 나 너에게 고백할까 봐 우 아무래도 나 오늘 밤에도 그리워해
4,Jin,봄이 온다,봄이 온다 꽃이 핀다 따듯한 그대가 내게로 와서 속삭인다 사랑한다 내 작은 마음에 작은 봄이 온다 아무도 찾지 않는 무심한 내 공간에 슬픔에 조각들만 남겨진 채 나를 버려둔다 봄이 온다 꽃이 핀다 따듯한 그대가 내게로 와서 속삭인다 사랑한다 내 작은 마음에 작은 봄이 온다 햇살이 나를 안고 내게 입맞추고 나는 그대 품 안에 녹아내리고 나는 그대 향기에 취하네 봄이 온다 꽃이 핀다 따듯한 그대가 내게로 와서 속삭인다 사랑한다 내 작은 마음에 작은 봄이 온다 봄이 온다 꽃이 핀다 따듯한 그대가 내게로 와서 속삭인다 사랑한다 내 작은 마음에 작은 봄이 온다 내 작은 마음에 작은 봄이 온다
5,신경철,사랑의 답,밖은 눈이 내리고 내 안은 눈물 내리고 뭘 잘못했는지 무엇 땜에 싸웠었는지 모르고 헤어지는 우리 죽을 만큼 힘든 줄 알았는데 눈물도 안 나오네 슬프다가 화내다가 널 보고 싶어 미쳐가는 날이 계속되고 무덤덤의 우리 시간은 돌아 돌아서는데 끝내 불러 날 잡지않아 모르고 헤어지는 우리 죽을 만큼 힘든 줄 알았는데 눈물도 안 나오네 슬프다가 화내다가 널 보고 싶어 미쳐가는 날이 계속되고 무덤덤의 우리 시간은 돌아 돌아서는데 끝내 불러 날 잡지 않아 시간이 흐른 뒤에 지나고 나면 얼마만큼 우연히도 지낼까 지나고 돌아올 수 없는 한결같이 아름다운 사랑 슬프다가 화내다가 널 보고 싶어 미쳐가는 날이 계속되고 무덤덤의 우리 시간은 돌아 돌아서는데 끝내 불러 날 잡지 않아
6,영동시장 (詠同市場),그대 가슴에 작은 시를,오늘 하룬 어땠나요 또 다른 어제 같았나요 아침에 눈을 뜨면 어느새 밤이 되어 새로운 내일을 꿈꾸죠 처음엔 다 서툰 거죠 사랑도 아픔을 주네요 철이 지난 옷을 입고 있는 듯해 보여도 그대 가는 길을 믿어요 그대 가슴에 작은 시를 써요 하나 둘 쓰다 보면 노래가 될 거야 지금 어딘가 내 노랠 들어줄 그 사람 만나러 가세요 걷다 보면 좀 나아질 거야 웃다 보면 또 잊혀 지겠지 먹다 보면 오늘 하루에 지친 내 마음도 조금은 위로가 될 거야 그대 가슴에 작은 시를 써요 하나 둘 쓰다 보면 노래가 될 거야 지금 어딘가 내 노랠 들어줄 그 사람 만나러 가세요 살다 보면 오늘 얘기도 웃으며 말할 수 있어 그대 가슴에 작은 시를 써요 하나 둘 쓰다 보면 노래가 될 거야 지금 어딘가 내 노랠 들어줄 그 사람 만나러 가세요
7,시슬리,All Together,이 넓은 세상에 살고 있는 많은 사람들 중에 우리가 만난건 하늘의 뜻이야 그 어디에도 당신과 같은 사람 없을거야 옷깃만 스쳐도 인연 그렇다면 우린 너무나 큰 인연 이 넓은 세상에 살고 있는 많은 사람들 중에 우리가 만난건 하늘의 뜻이야 우린 그 어떤것도 함께 하지 힘들고 어려워도 멈추지 않아 우린 뭐든 함께 하니까 앞으로 만들 아름다운 꿈을 향해 우리 모두 함께 손을 잡고 달려보는거야 우리 모두 함께 손을 잡고 아름다운 세상을 만들어 All Together All Together 새로운 희망을 위해 오늘도 우리 함께 앞을 향해 한걸음 한걸음 함께 할때 두려움은 사라지지 어둠도 밝은 빛으로 우리의 사랑은 큰 소망이 되어 하늘의 뜻이 우리를 통해 이루어지지 큰 폭풍도 풍랑도 잠잠해지고 평화로운 빛이 우리를 비추지 All Together All Together All Together 우리 함께 All Together
8,UAZ,그런 날이 올까 (Feat. 문두리),달빛에 비친 너의 그림자가 날 보고 있네 부끄러워 너의 눈을 마주치는 거 오늘도 난 너의 그림자에 시선을 옮기네 표정은 보이지 않지만 느껴지는 시선이 나의 얼굴을 붉게 해 저 달빛은 오늘따라 너무 밝아 원망스러워 네가 좋기 때문에 수줍어진 얼굴 들킬까 조마조마 한데 게으른 저 달빛은 언제쯤 질까 언제쯤 나는 네 앞에서 편해질 수 있을까 그런 날이 올까 그런 날이 올까 너는 어떻게 나의 눈을 보고 그리 차분한지 내 맘도 너와 같았으면 좋겠는데 오늘도 난 너의 그림자에 시선을 옮기네 표정은 보이지 않지만 느껴지는 시선이 나의 얼굴을 붉게 해 저 달빛은 오늘따라 너무 밝아 원망스러워 네가 좋기 때문에 수줍어진 얼굴 들킬까 조마조마 한데 게으른 저 달빛은 언제쯤 질까 언제쯤 나는 네 앞에서 편해질 수 있을까 그런 날이 올까 그런 날이 올까 깊은 밤에도 너와 함께면 유난히 환해서 내 붉은 얼굴이 잘 보이잖아 감출 수가 없잖아 널 좋아하기 때문에 오늘따라 너무 밝아 원망스러워 네가 좋기 때문에 수줍어진 얼굴 들킬까 조마조마 한데 게으른 저 달빛은 언제쯤 질까 언제쯤 나는 네 앞에서 편해질 수 있을까 그런 날이 올까 그런 날이 올까
9,"최백호, 유익종, 이치현, 최성수",이번 생은 이대로 살기로 하자,이번 생은 이대로 살기로 하자 대수일 것 같은 인생은 천년 만년 살 것 같은 우리가 만물의 영장이었더냐 놀이터 옆 텃밭에 꽃들이 언제 피었었는지 몰라 겨울이 너무 길고 추워서 기다림도 얼었나보다 다시 봄날 기다리며 목 터져라 불러 본다 언젠가는 끝나리라 이 모두가 지나리라 엄마가 끓여준 콩나물국에 고추가루 팍 넣고 먹으면 났다 가끔은 말 안듣고 긴 복도에서 두 손들고 섰던 우리다 사는게 사는게 아닐때에도 그래도 힘내서 살았다 홍역을 치루고 벌떡 일어나 밥 달라고 울던 우리다 다시 노래 불러보자 힘을내어 불러보자 언젠가는 끝나리라 그때 우리 웃으리라 안보이는 것 앞에서 무릎끓으니 안보이는 분 믿어야지 앞이 안보일때 내내 먹었던 칼국수나 먹어야겠다
