,artist_name,song_name,lyric
0,SE O (세오),다들 그런거야,"음 많이 애썼어 그래
내 뜻대로 모든 게
되지 않는 것만 같지
한심하니
내 자신이
미운 거니
이 세상이
혹시 외롭진 않니
위로가 될지는 모르겠지만
위로가 될 만한 말이
아닐 수도 있지만
다들 그런 거야
괜찮을 거야
두렵다면
괜찮아
지쳤다면
쉬어도 돼
억지로 버티지 않아도 돼
위로가 될지는 모르겠지만
위로가 될 만한 말이
아닐 수도 있지만
다들 그런 거야
괜찮을 거야
괜찮을 거야"
1,선우정아,모른 척,"아무 말도 하지마 다 알고 있으니까
세상이 날 어떻게 말하고 있을지
미련하고 세상 무서운 줄 모른다고
바보라 부른대 그래
나도 그게 궁금해 요즘 따라
모른 척 웃고 있지만
아무 일 없는 척 살고 있지만
내 마음에 쌓인 시간들은
왜 아직까지
기다리는 걸까 어쩌라는 걸까
이제와서
한심하긴 현실은 동화가 아니라고
꿈 깨라 하는데 그래
그 꿈은 왜 깨어지질 않을까
아닌 척 앞을 보지만
하라는 대로 다 하고 있지만
내 시간에 쌓인 눈물들은
왜 아직까지
마르지 않을까 어쩌라는 걸까
닦아도 또
끝나지 않는 그 날
빛 바래 초라한 내 도전도
끝나지 않을 그 날
빛 바랜 초라한 내 도전도
아무 말도 하지마
다 알고 있으니까"
2,"나윤권, 유재환",With you,"니가 내 곁으로 다가와
많은 날들을 함께하고 있었지만
내 맘이 너와 같지 않을 거라
생각하고 있었는데 정말
그 날 그 밤 나는 알았어
지금까지 내가 뭘 찾았었나 그래
널 만난 후에 나는 알게 됐어
너라는 걸 이제는 말 하고 싶어
난 니가 있어서 하루가 길어져
넌 내게로 와서 그 하룰 채워줘
우리 둘 서로가
이렇게 매일 함께하면
수많은 하루가 빛이 될 거야
with you
많은 걸 바랄 순 없었어
그저 너와 내가 있다는 것만으로
난 행복했어 정말 너로 인해
나로 인해 우리가 웃을 수 있어
난 니가 있어서 하루가 길어져
넌 내게로 와서 그 하룰 채워줘
우리 둘 서로가
이렇게 매일 함께하면
수많은 하루가 빛이 될 거야
with you
함께라서 좋아 니가 있어줘서
니가 있다는 게 너무 행복해서
우리 둘 서로가
이렇게 매일 함께하면
수많은 하루가 빛이 될 거야
with you"
3,임창정,위로,"사랑한단 말 기다리란 말
그 눈물로 대신 했나요
함께 한 사람 그대였기에
나 오늘 하루 견딜 수 있죠
그대 머물던 너무나
아름다운 기억에
난 가끔 서글픈 그리움조차
위로가 되죠
그대 너무 멀어지진 말아요
나의 사랑 느껴 질 수 없어요
마주할 수는 없지만
이별은 아니죠
잠시 멈춰있을 뿐이죠
곁에 없지만 그댄 언제나 내게
가장 큰 위로가 되죠
볼 수 없을 뿐 하늘의 별도
늘 그 자리에 있는 것처럼
그대 머물던 너무나
아름다운 기억에
난 가끔 서글픈 그리움조차
위로가 되죠
그대 너무 멀어지진 말아요
나의 사랑 느껴 질 수 없어요
마주할 수는 없지만
이별은 아니죠
잠시 멈춰있을 뿐이죠
떠난 그대는 괜찮은 건지
내 하루는 여전히 그대일 텐데
함께 한 기억들만이
내 전분 것처럼 자꾸 되돌려 져요
그대 먼 곳에서 돌아오겠죠
슬픈 세상 끝을 보고 있나요
내게로 돌아 올 사람
나 기다리는 일
내게는 행복할 뿐이죠
행복한 눈물일 뿐이죠"
4,The One (더원),그대이기에,"눈부시게 빛나는 그대 얼굴이
표정 없는 내 맘을 움직이네요
한 걸음씩 한 걸음씩
내게 다가오면
숨죽였던 가슴 떨려오네요
날 웃게한 한 사람 그대이기에
내 삶의 오직 하나 이유도
바로 그대이기에
이렇게 그대 곁에 서서
그저 바라보기만 해도
난 웃을 수 있어 행복합니다
흔들리는 그대의 눈빛이 내게
얘길 하듯 그댈 향해
맘이 이끌려가요
날 웃게한 한 사람 그대이기에
내 삶의 오직 하나 이유도
바로 그대이기에
이렇게 그대 곁에 서서
그저 바라보기만 해도
난 웃을 수 있어 행복합니다
눈물진 그대의 모습조차도
내 마음을 웃게 합니다
슬퍼하는 그대 옆에 어깰 내주고
이토록 머물 수 있으니
내 곁의 단 한 사람 그대이기에
내 곁의 단 한 사람 그대이기에
평생 동안 사랑할 한 사람
바로 그대이기에
영원히 내 품 안에 편히
안긴 그대 생각만 해도
난 행복합니다 영원히"
5,황치열,봄이라서 (One Spring Day),"오늘은 왠지 뭔가 느낌이 달라
들뜬 너를 바라보는
내 맘이 떨려와
봄 타는 건지 너에게 반한 건지
너무나 아름다워
Oh Baby Baby
오늘 이 밤 바람을 타고
너와 함께 밤새 얘기 나누고 싶어
반짝이는 별빛 속에 그대와 나
이 밤이 영원하길
밤이 늦어도 널 보내기가 싫어
살짝 떨려오는 너의
그 표정이 좋아
사랑인 건지 너무나 좋은 느낌
모든 게 아름다워
Oh Baby Baby
오늘 이 밤 바람을 타고
너와 함께 밤새 얘기 나누고 싶어
반짝이는 별빛 속에 그대와 나
이 밤이 영원하길
네 손을 잡아 볼까
나의 맘을 고백할까
너를 좋아한다고
하지만 지금 이 순간이 너무 좋아
오늘은 널 바라만 볼래
Oh Baby Baby
오늘 이 밤 바람을 타고
너와 함께 밤새 얘기 나누고 싶어
아름다운 나의 그대의 두 눈에
나를 담고만 싶어"
6,티아라,20090729,"화려한 저 조명 아래에 서면
걱정도 슬픔도 다 끝날 줄 알았어
한걸음 두 걸음 올라갈수록
더욱더 멀게만 느껴져
가끔은 울고 싶어 잠깐
이러면 안돼 왈칵
쏟아지는 눈물을 가두고
내 맘을 잠가
때론 주저앉고 싶어도
견디는 게 힘들어도
그래도 난 언제나 행복해야 돼
지친 하루 끝에 힘없이
자리에 누우면
괜히 바보처럼 슬퍼지는데
저기 밤하늘을
수놓은 저 많은 별 중에
다른 별 사이에
감춰져 보이지 않는 별
괜찮아 지금은 비록 가려있지만
나도 세상을 향해
밝게 빛나는 별이 되고파
가끔은 사람들의 기대와
누군가의 실망
감당할 수 없는 큰 부담이 돼
사람들의 얘기 속에
내가 주인공이 될 때
아닌척하지만 사실은 겁이 나
지친 하루 끝에 힘없이
자리에 누우면
괜히 바보처럼 슬퍼지는데
저기 밤하늘을
수놓은 저 많은 별 중에
다른 별 사이에
감춰져 보이지 않는 별
괜찮아 지금은 비록 희미하지만
나도 세상을 향해
밝게 빛나는 큰 별이 되어
그때는 웃으며
지금을 돌아볼 수 있겠지
그날이 올 때까지 멈추지 않아
저기 밤하늘을
수놓은 저 많은 별 중에
다른 별 사이에
감춰진 난 아주 작은 별
괜찮아 지금은 비록 희미하지만
나도 세상을 향해
밝게 빛나는 마지막 별이 될 거야"
7,이예린,오늘 하늘,"오늘 하늘 너무 예쁘다
보라색으로 흠뻑 뒤덮였네
쏟아지는 저기 달빛도
노란색으로 한껏 물들었네
우리 그렇게 그냥 이렇게 있자
나도 아니까
너의 대답이 어떨지 아니까
쌓여가는 마음
무거워진 이 밤
오늘 저 하늘엔 네가 가득
까맣게 날 흔드네
오늘 하늘 너무 예쁘다
아무렇지 않게 말을 건넸지
쏟아지는 저기 달빛도
쓸쓸한 듯 이 시간을 위로해
쌓여가는 마음
무거워진 이 밤
오늘 저 하늘엔 네가 가득
까맣게 날 흔드네
우리 그렇게 그냥 이렇게 있자
나도 아니까
너의 대답이 어떨지 아니까"
8,변진섭,사랑이 말해요,"고마운 사람
날 사랑해준 그 사람
그대가 난 고맙죠
미안한 사람
날 사랑해준 그 사람
그래서 미안한 사람
운명이란 말 몰랐던 나에게
사랑을 가르쳐 준 그대라서
미안하죠
사랑이 말해요
가지 말라고
내게 말해요
보낼 수 없다네요
사랑이 말해요
돌아오라고
가는 걸음 붙잡으라고
말을 해요
울지 말아요
아프지 말아요
그럴 때마다 내 마음은 수천배
무너져요
사랑이 말해요
가지 말라고
내게 말해요
보낼 수 없다네요
사랑이 말해요
돌아 오라고
가는 걸음 붙잡으라고
말을 해요
이별이 말해요
다시 한번만
내게 말해요
그댈 볼 수 없냐고
사랑이 말해요
다시 살아도
내 사랑은 그대 밖에는
없다네요"
9,김국헌 (비오브유),사랑할 것 처럼,"단 한번 도 잘해 준 기억 하나 없는데
왜 그런 거니
내가 뭐라고 너의 눈빛은 웃는 거니
줄 수 있는 게 이렇게
단 하나도 없는 사람이 나였는데
모든 걸 다 가진듯한 너의 그 표정이
아직도 선명하게 난 느껴져
너는 어디 있니 니가 사랑한
그렇게 사랑한 나를 두고서
니가 떠난 후에 아직까지 난 우는데
넌 나를 지워 버렸니
줄 수 있는 게 이렇게
셀 수 없을 만큼 많아진 내가 되도
모든 걸 다 주고 싶은 나의 이 바램은
이렇게 너를 찾아서 헤맨다
너는 어디 있니 니가 사랑한
그렇게 사랑한 나를 두고서
잘해 준 게 없어 날 떠나간 게 아니면
왜 나를 떠나 간 거니
이제 와서 사랑 할 것처럼
미련하기만 한 나를 용서 하지 마
나만 아픈 거니 나를 사랑한
기억만 남기면 난 어떡하니
얼마나 아파야 다 갚을 수 있는 건지
오늘도 이렇게 운다
널 보낸 후 에 사랑한 나는"
