,artist_name,song_name,lyric
0,음악교생,이상향,"아무것도 가진 것 없지만
난 아직 부족하지만
내 안에 있는 열정은 순수한가
수많은 부조리와
시련에 마주했을 때
내 안에 있는 분노는 순수한가
힘겨운 세상 속에서
조그마한 꿈을 찾아
힘이 들 때면 하늘을 봐
저기 빛나고 있는 별빛을 보며
약자 앞엔 약하고
강자 앞에선 강한
내 안에 있는 용기는 순수한가
힘겨운 세상 속에서
조그마한 꿈을 찾아
힘이 들 때면 하늘을 봐
저기 빛나고 있는 별빛을 보며
뜬구름을 잡는 듯
이상향과 멀어 지는
이 현실 속에 발버둥을 쳐
그렇게 살아야 해 의미 있게"
1,이승재,살쪄,"물만 먹어도 난 쪄
숨만 쉬어도 난 쪄
가을은 독서의 계절
이제는 마음까지 살쪄
밤에는 일 끝나고 피곤해서 한잔
주말에는 친구 만나 기쁨의 한잔
나는 남들보다 좀더 튼튼할 뿐이야
살 빼라고 하지마
뺄셈 보다 먼저 배우는 게 덧셈
나에게도 살을 더하는 게 먼저
먹을 수 있어 행복해
생선도 찌면 생선찜
만두도 쪄야 하는데
사람이 좀 찌면 어때
그래 살 좀 찌면 어때
나는 남들보다 좀더 튼튼할 뿐이야
살 빼라고 하지마
뺄셈 보다 먼저 배우는 게 덧셈
나에게도 살을 더하는 게 먼저
먹을 수 있어 행복해
맛있게 먹으면 0칼로리 라는데
조금 덜 짜게 먹으면 되는데
과하다 싶으면 알아서 뺄 거야
그러니까 조금 더 쪄도 돼
인터넷에서 보고 산 옷들
직접 입어 보니 왜 안 맞아
맘에 드는 옷을 입어 보려 내가
노력했지만 이젠 됐어
내 몸에 맞는 옷을 살래
나는 남들보다 좀더 튼튼할 뿐이야
살 빼라고 하지마
뺄셈 보다 먼저 배우는 게 덧셈
나에게도 살을 더하는 게 먼저
먹을 수 있어 행복해"
2,정윤 그리고 현서,파도,"가만히 옆에 앉아 오늘도 널 보네
한참을 바라보다 보니
날은 어느새 또 저물어가네
가만히 옆에 앉아 아늑히 널 보네
한참을 바라보다 보니
날은 어느새 또 더 짙어지네
스산히 다가오던 편안히 안겨오던
노을 빛이 담긴 그 눈으로 내게 와요
파도같이 내게로 그냥 그렇게 와요
파도같이 내게로 그렇게 오면 돼요
스산히 다가오던 편안히 안겨오던
노을 빛이 담긴 그 눈으로 내게 와요
파도같이 내게로 그냥 그렇게 와요
파도같이 내게로 그렇게 오면 돼요
파도같이 내게로 그렇게 와줄래요
파도같이 내게로 여기 머물면 돼요
파도같이 내게로 그렇게 와줄래요
파도같이 내게로 여기 머물면 돼요"
3,김시형,나의 여행 (With 김동현),"기다려온 여행을 나는 지금 떠나네
설레이는 이 마음을
끝까지 함께 하고 싶어서
지쳐가는 일상을 잠시라도 벗어나
반복되는 삶속에서
나만을 위한 시간주고파
가지고 있는 많은 고민
여행을 통해 정리하며
더 나은 삶과 미래를 위한 나를 위해
어디론가 떠나서 여행에서 만나는
모든 풍경 모든 시간
새로운 마음의 눈 가지고
길을 떠난 그 순간 기분 좋은 마음이
둘러싸인 속박에서
벗어난 느낌으로 다가와
나에게 주는 즐거움들
그것을 통해 충전하며
돌아올 일상 수많은 일들 준비하네
떠나야하는 여행을 위해
많은 시간은 필요치않아
가볍게 떠나야 진정한 여행이야
여행이라는 여정속에서
많은 생각을 할수 있다면
나에게 비로소 인생의 답을 주네
나를 찾아 떠나는 그런 시간 안에서
생각보다 많은 것을
해결하게 될 수 있고
여행으로 내 자신을 찾을 수 있네
내가 찾는 새로움을 주는 여행
내가 있던 자리를 잠시나마 떠나서
내 자신을 바라 볼 때
느껴지는 많은 생각
여행에서 스스로를 위로해주네
떠나야만 느껴지는 그런 여행
나의 여행"
4,A General Shop,처음 그대를 만났을 때 (Feat. 조이안),"처음 그대를 만났을 때
어리숙했던 내 모습이
어떻게 비춰졌을까
나도 모르게 터져버린
그 미소의 의미를 그대는 알까
어색했던 그 순간에
어떤 말을 해야할지도 모르겠고
가끔씩 마주치는 그 눈빛에
심장은 터질 것 같고
시간은 멈춰 버렸죠
나 그이후로 그대를 매일 생각해요
이렇게 들뜨는 마음 정말 오랜만이죠
그대와 함께 나누었던
그 짧은 순간이 행복했죠
나 그 이후로 자꾸만 가슴이 뛰고
많이 소심해지고 겁이 많아 져요
그대를 만나기 전엔
이런 느낌 끝인 줄 알았죠
안절부절 하지 못하고
어수선하게 움직였던 날
어떻게 생각했을까
아무 말이 없던 그때에
많이 떨었다는 걸 그대는 알까
어색했던 그 순간에
어떤 말을 해야할지도 모르겠고
가끔씩 마주치는 그 눈빛에
심장은 터질 것 같고
시간은 멈춰 버렸죠
나 그 이후로 그대를 매일 생각해요
이렇게 들뜨는 마음 정말 오랜만이죠
그대와 함께 나누었던
그 짧은 순간이 행복했죠
나 그 이후로 자꾸만 가슴이 뛰고
많이 소심해지고 겁이 많아 져요
그대를 만나기 전엔
이런 느낌 끝인 줄 알았죠"
5,소소한 콜라보,아무것도 아닌 이야기 (Feat. 민아),"아무것도 아닌거라 나는 생각해
흘러가는 시간 속 무뎌질 텐데
아무것도 아닌게 난 아닌데
흘러가 이대로 또 다시 너는
내가 하는 말 그런 뜻 아닌데
그럼 니가 하는 말이 뭔데
내가 하는 말 그런 뜻 아닌데
대체 무슨 말을 하는 건데
우린 서로 다른 이야길 뿐
이해해줄 수 없니
우린 서로 달라
아무것도 아닌 이야기
너무 당연하게 생각했던 나인데
이기적이었던 나의 생각 미안해
아무것도 아닌게 아닌 너의 말
이해할 수 있어 난 너의 말
내가 하는 말 그런 말 아니야
이해할 수 있어 조금씩 더
내가 하는 말 그런 말 아니야
모두 이해할 수 없겠지만
우린 서로 다른 이야길 뿐
이해해줄 수 없니
우린 서로 달라
아무것도 아닌 이야기
우린 서로 다른 이야길 뿐
이해해줄 수 없니
우린 서로 달라
아무것도 아닌 이야기"
6,Miny Biny,Little By Little,"Gradually
어떤 그 향기에 취해서 언제부터인가
널 떠올리는 건지 믿어지지가 않아
속삭여줘
달콤하게 내 귓가에 더
나를 안아줘
따뜻하게 그대를 느낄 수 있게
멀리서 바라보는 내가
너무나 미워져서
조심스럽게 너에게
조금씩 다가갈거야
사랑한다고 이제는
고백을 하고 싶은데
내 사랑은 조금씩
조금씩 조금씩만 더
조금씩 조금씩만
네게 다가가 우워 huh
Yeah yeah yeah yeah
Little by little
Uh
아직까진 나 서툰 사람이야
그댄 아직 날 스치는 바람이야
Little by little to you now
언제나 너의 목소리를
너의 숨소리를 내게
속삭여줘
달콤하게 내 귓가에 더
나를 안아줘
따뜻하게 그대를 느낄 수 있게
멀리서 바라보는 내가
너무나 미워져서
조심스럽게 너에게
조금씩 다가갈거야
사랑한다고 이제는
고백을 하고 싶은데
내 사랑은 조금씩
조금씩 조금씩만 더
조금씩 조금씩만
네게 다가가 우워 huh
Yeah yeah yeah yeah
Little by little
Uh
서투른 방식에 망설이지 말아줘
나 몰래 그쪽으로 눈돌리지 말아줘
수줍은 미친 고백 내 부푼 맘은 터져
Boom boom boom
멀리서 바라보는 내가
너무나 미워져서
조심스럽게 너에게
조금씩 다가갈거야
사랑한다고 이제는
고백을 하고 싶은데
내 사랑은 조금씩
조금씩 조금씩만 더
조금씩 조금씩만
네게 다가가 우워 huh
Yeah yeah yeah yeah
Little by little
Uh"
7,최민수,추억으로만,"길을 걷다가 문득 니 생각에
가끔 멈춰서곤 해
너도 가끔은 내 생각할까 하는
생각에 멍하니 있곤 해
이제 혼자인 겨울도
익숙해져 가고 있는 듯 한데
다시 자꾸만 돌아와
계속 나의 마음은 허전하기만 한데
정말 아팠던 우리의 상처도
정말 좋았던 우리의 기억도
굳이 지우려고 하진 않아
지나간 뒤에 가끔 생각해보는 것도
좋은 추억이 될 수 있으니
어느 따스한 햇살과
시원한 바람을 맞으며
내게 너 없던 시절로
잊으며 살아가다
또 다시 낙엽은 지고
정말 아팠던 우리의 상처도
정말 좋았던 우리의 기억도
굳이 지우려고 하진 않아
지나간 뒤에 가끔 생각해보는 것도
좋은 추억이 될 수 있으니까
나란히 걸었던 괜스레 다퉜던
너와 함께 했던
순간 모두 고마운 걸
너무 아팠던 우리의 사랑도
너무 좋았던 우리의 추억도
이제 잊으려고 하진 않아
지나간 지금 아직 지워지지 않아도
잊을 수가 없어도 고마워"
8,순 프로젝트,눈송이 (Feat. 루 (Loup)),"첫 눈이 내리던
작년에는
눈송이를 보며
웃었죠
그대 환한 미소 날
바라보며
그 순간들
기억해요
첫 눈이 내리던
올해에는
눈송이를 보며
슬펐죠
그대 환한 미소
내 옆에 없이
스쳐 지나가네요
다 흩어져
눈꽃처럼
잡아보려 해도 널
잡을 수 없어
새하얗게
추억처럼
지워지는
널 잊을게
첫 눈이 내릴
내년에는
당신을 잊을 수 있을까
그대 못 잊으면
난 어떡하죠
되돌릴 수 없는데
다 흩어져
눈꽃처럼
잡아보려 해도 널
잡을 수 없어
새하얗게
추억처럼
지워지는
널 잊을게
저기 흩날리는
눈송이처럼
멀리 바래지는
우리 기억이
눈 녹듯이
사라진다
다 흩어져
눈꽃처럼
잡아보려 해도 널
잡을 수 없어
새하얗게
추억처럼
지워지는
널 잊을게"
9,유권 (블락비),애기애기해,"무관심해 보여도
강한 척 센척해도 넌
애기애기해 내 눈엔 애기애기해
설탕 미소를 지으면
심장이 나를 비웃듯
마법이 법이 돼 내 맘은
everyday I'm your love
항상 똑같은 생각 넌 지금 뭐할까
내 머리 속엔 백퍼센트
너의 사진들로 가득해
고백을 해볼까 싫다면 어쩌나
준비가 안 된 플랜B
어색해지면 어쩌지
싫으면 영화를 보러 가지도
내게 먼저 연락 하지도
않았으니까
무관심해 보여도
강한 척 센척해도 넌
애기애기해 내 눈엔 애기애기해
설탕 미소를 지으면
심장이 나를 비웃듯
마법이 법이 돼 내 맘은
everyday I'm your love
everyday everyday
everyday everyday
곁에 있어줘
I will be your love
혹시 나만의 착각 아니면 설레발
안 믿었지 처음엔
너도 날 좋아한다는 게
손잡고 걸을까 둘밖에 없는데
예고 없이 내린 소나기 비가
왜 이리 고마운 지
싫으면 늦은 밤 택실 탈 때도
번호판을 외우는 것도 안 할 테니까
무관심해 보여도
강한 척 센척해도 넌
애기애기해 내 눈엔 애기애기해
설탕 미소를 지으면
심장이 나를 비웃듯
마법이 법이 돼 내 맘은
everyday I'm your love
내게 남은 마지막 순간까지
너의 곁에 내가 있을게
평소에 안 하던 일도
평소에 없던 웃음도
너 앞에선 달라지니까
무관심해 보여도
강한 척 센척해도 넌
애기애기해 내 눈엔 애기애기해
설탕 미소를 지으면
심장이 나를 비웃듯
마법이 법이 돼 내 맘은
everyday I'm your love
everyday everyday
everyday everyday
곁에 있어줘
I will be your love"
