,제목,가수,가사
0,사랑이 아니었다고 말하지 마요,이예준,소중한 건 금방 달아날 것만 같아 너를 지우면 그게 나이긴 한 걸까 나의 어제이고 오늘인 너는 아파 눈 감으면 네 생각이 나 사랑했던 모든 날이 좋았어 어쩌려고 내가 너를 놓았을까 나의 세상 나의 시간 잊지 말아요 늘 그리워서 눈이 부시게 너로 반짝이던 가득 빛나던 밤 영원할 줄 알았던 우리의 그때를 사랑이 아니었다 말하지 마요 덜컥 네 생각에 참아왔던 마음이 손쓸 틈 없이 쏟아져 내려 오늘도 구름 낀 하늘 비가 올 것만 같아서 난 하염없이 네 생각이 나 바보처럼 아껴왔던 마음이 지칠 만큼 오늘따라 조금 벅차 나의 세상 나의 시간 잊지 말아요 늘 그리워서 눈이 부시게 너로 반짝이던 가득 빛나던 밤 영원할 줄 알았던 우리의 그때를 사랑이 아니었다 말하지 마요 내일의 너에게 난 어떻게 그려질까 점점 선명해질까 아님 잊혀져갈까 손 내밀면 닿을 것 같은 그때의 기억 늘 그리워서 모든 시간이 너로 가득했어 아련한 꿈처럼 소중하고 또 애틋한 우리의 그때를 사랑이 아니었다 말하지 말아요
1,행복한 나를,WSG워너비 조별경연 (신선봉),몇 번인가 이별을 경험하고서 널 만났지 그래서 더 시작이 두려웠는지 몰라 하지만 누군갈 알게 되고 사랑하게 되는 건 네가 마지막이라면 얼마나 좋을까 나처럼 바쁜 하루 중에도 잠시 네 목소리 들으면 함께 있는 것처럼 너도 느껴지는지 매일 밤 집으로 돌아갈 때 그곳에 네가 있다면 힘든 하루 지친 네 마음이 내 품에 안겨 쉴 텐데 지금처럼만 날 사랑해 줘 난 너만 변하지 않는다면 내 모든 걸 가질 사람은 너뿐이야 난 흔들리지 않아 넌 가끔은 자신이 없는 미래를 미안해 하지만 잊지 말아 줘 사랑해 너와 함께라면 이젠 행복한 나를 바쁜 하루 중에도 잠시 네 목소리 들으면 함께 있는 것처럼 너도 느껴지는지 매일 밤 집으로 돌아갈 때 그곳에 네가 있다면 힘든 하루 지친 네 마음이 내 품에 안겨 쉴텐데 지금처럼만 날 사랑해줘 난 너만 변하지 않는다면 내 모든 걸 가질 사람은 너뿐이야 난 흔들리지 않아 넌 가끔은 자신이 없는 미래를 미안해 하지만 잊지 말아 줘 사랑해 너와 함께라면 이젠 행복한 나를 난 많은 기대들로 세상이 정해 놓은 사랑을 버리고 버리고 네 마음처럼 난 늘 같은 자리에 또 하나의 네가 되고 싶어 소중한 널 위해 지금처럼만 사랑해줘 항상 너만 변하지 않으면 내 전부를 가질 사람은 너뿐이야 난 흔들리지 않아 자신 없는 미래 넌 미안해하고 있니 넌 이제 혼자가 아니야 이젠 잊지마 너와 함께라면 언제나 행복한 나를
2,빗방울,거미,차갑던 바람에 얼던 내 밤 어느새 시간도 흘러 무뎌지네 그런 내게 따스한 곁을 넌 주곤 해 한겨울에 핀 꽃같이 겨우 나랜 계절 속에 울고 웃던 홀로 걷던 저물어 가던 날 안아주네 봄에도 시리던 나의 아픔이 누군 모를 저린 그날이 어떤 말도 넌 필요 없이 꼭 웃어줬어 쏟아지던 빗방울도 이젠 그쳤네 언젠가 들리던 너의 숨결 참아도 흐르던 말들 그 속에서 보인 눈물 이젠 내 곁에 기대요 지우진 못한들 우리 앞에 놓인 수많은 사랑을 지켜줄게 이 말을 약속해 너의 손을 잡고서 이렇게 봄에도 시리던 나의 아픔이 누군 모를 저린 그날이 어떤 말도 넌 필요 없이 꼭 웃어줬어 쏟아지던 빗방울도 이젠 그쳤네
3,이별하러 가는 길,임한별,소란한 내 맘을 누군가 볼까봐 애써 웃는 척 해 사실 나는 누구보다 아픈 중인데 많은 날이 지나면 덤덤하게 잊혀지겠지 다시 또 살아가면서 누군갈 사랑하면서 그렇게 이별하러 가는 길 참 맑기도 하다 널 떼러 가는 길 아무 예고 없이 갑자기 맞이할 이별에 많이 힘들지 몰라 미안해 다신 사랑 안 한단 거짓말 뒤로 우는 널 남긴 채 나 차갑게 떠난다 우리 이제는 안녕 안녕 차라리 나를 미워해 화도 못 내는 네게 너무 쉽게 던진 말 그 말 그게 참 가슴에 남아 미안하단 말 못한 게 후회돼 이별하러 가는 길 참 맑기도 하다 널 떼러 가는 길 아무 예고 없이 갑자기 맞이할 이별에 많이 힘들지 몰라 미안해 다신 사랑 안 한단 거짓말 뒤로 우는 널 남긴 채 나 차갑게 떠난다 우리 이제는 안녕 안녕 다 잊어줘 보란듯이 더 잘 살아가줘 차마 하지 못한 말 붙잡아달란 말 우리 사랑한 그 만큼 그 만큼 아파 미치도록 그리울 사랑아 이게 나란 남자야 못 되고 비겁해 널 울게 만들고 또 니 행복을 빌어 우리 이제는 안녕 안녕 안녕
4,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),가끔 니가 보고 싶어 널 생각하지 않아도 자꾸 내 꿈속에 나와 너무나 힘들게 해 일년이란 시간 동안 널 잊은 줄 알았는데 또 다시 니가 내게 나타나 밤이 되면 니 생각에 매일 잠들지 못해 그저 너란 사람 내겐 옛 사랑일 뿐인데 잊혀질 듯 하다가도 또 내 꿈속에 나타나 자꾸 내 마음을 흔드는 너인데 꿈속에 너를 사랑하나 봐 아직 사랑했나 봐 아직도 너의 그 모습에 난 또 설레였나봐 너 다시 돌아오면 그렇게 다시 내게 와준다면 그때처럼 날 사랑해줘 헤어지던 그 날부터 매일 눈물만 흘렸어 다시 너를 잡아볼까 생각도 했었어 혹시 날 그리워할까 날 생각하긴 한 걸까 아직도 너를 잊지 못한 나인데 꿈속에 너를 사랑하나 봐 아직 사랑했나 봐 아직도 너의 그 모습에 난 또 설레였나봐 너 다시 돌아오면 그렇게 다시 내게 와준다면 그때처럼 날 사랑해줘 이젠 꿈에서 조차 너를 보고 싶지 않아 내 머릿속에서 니가 떠났으면 더 이상 너 하나만 바라보며 살아 갈 수 없어 꿈속에 널 이젠 놓아주려 해 꿈속에 너를 사랑하나 봐 아직 사랑했나 봐 아직도 너의 그 모습에 난 또 설레였나봐 너 다시 돌아오면 그렇게 다시 내게 와준다면 그때처럼 날 사랑해줘
5,하늘바라기 (Feat. 하림),정은지,꽃 잎이 내 맘을 흔들고 꽃 잎이 내 눈을 적시고 아름다운 기억 푸른 하늘만 바라본다 꼬마야 약해지지마 슬픔을 혼자 안고 살지는 마 아빠야 어디를 가야 당신의 마음처럼 살 수 있을까 가장 큰 별이 보이는 우리 동네 따뜻한 햇살 꽃이 피는 봄에 그댈 위로해요 그댈 사랑해요 그대만의 노래로 뚜루뚜뚜두 두두두 뚜루뚜뚜두 두두두 뚜루뚜뚜두 두두두 하늘바라기 하늘만 멍하니 가장 큰 하늘이 있잖아 그대가 내 하늘이잖아 후회 없는 삶들 가난했던 추억 난 행복했다 아빠야 약해지지마 빗속을 걸어도 난 감사하니깐 아빠야 어디를 가야 당신의 마음처럼 살 수 있을까 가장 큰 별이 보이는 우리 동네 따뜻한 햇살 꽃이 피는 봄에 그댈 위로해요 그댈 사랑해요 그대만의 노래로 따뜻한 바람이 부는 봄 내음 그대와 이 길을 함께 걷네 아련한 내 맘이 겨우 닿는 곳에 익숙한 골목 뒤에 숨어있다가 그대 오기만 오기만 기다린 그때가 자꾸만 떠올라 가장 큰 별이 보이는 우리 동네 따뜻한 햇살 꽃이 피는 봄에 그댈 위로해요 그댈 사랑해요 그대만의 노래로 뚜루뚜뚜두 두두두 뚜루뚜뚜두 두두두 뚜루뚜뚜두 두두두 하늘바라기 하늘만 멍하니
6,넘쳐흘러,엠씨더맥스 (M.C the MAX),나는 그대를 뒤로한 채로 우리 사랑을 놓아요 차오르는 추억을 헝클어뜨려 모두 일어나지 않았던 일처럼 고갤 저어 모르는 꿈이라 말하고 있네요 남았는지 모를 마음이 나를 향해 힘껏 달려도 어느 끝 멈춰질 그 거리에 그대 다 찢겨져버린 사이 더 기워봐도 다시 그때로 우리 되돌려 놓을 수 없는 그 얘기 날카롭게 패인 이 상처가 깊어 나을 수 없으니 떠나가요 떨궈진 눈물은 가슴에 담아지고 이제 더는 채울 자리 없이 넘쳐흐르네요 그대인지 모를 얼굴이 나를 향해 웃음 지어도 손 내밀 수도 없는 거리에 그대 또 주저앉을 수밖에 무너진 이 사랑과 그대의 모든 흔적을 그리워하는 일만이 더 할 게 없어서 무력해져 가는 내가 싫어 그대를 보내기 싫지만 다 찢겨져버린 사이 더 기워봐도 다시 그때로 우릴 되돌려 놓을 수 없는 그 얘기 날카롭게 패인 이 상처가 깊어 나을 수 없으니 떠나가요
7,술 한잔 해요,지아,술 한잔 해요 날씨가 쌀쌀하니까 따끈따끈 국물에 소주 한잔 어때요 시간 없다면 내 시간 빌려줄게요 그대 떠나간 후에 내 시간은 넘쳐요 눈치 없는 여자라 생각해도 좋아요 난 그냥 편하게 그대와 한잔하고 싶을 뿐 괜찮다면 나와요 우리의 사랑이 뜨겁던 우리의 사랑을 키웠던 그 집에서 먼저 한잔 했어요 조금 취했나 봐요 그대가 내 앞에 있는 것 같아 바보처럼 자꾸 눈물이 나요 그대 마음이 차갑게 식어갔듯이 따뜻했던 국물도 점점 식어가네요 한잔 더 하고 이제 난 일어날래요 비틀대는 내 모습 보기 싫어질까봐 오늘따라 그대가 너무 보고 싶어서 난 그냥 편하게 그대와 한 잔하고 싶었죠 괜찮다면 나와요 우리의 사랑이 뜨겁던 우리의 사랑을 키웠던 그 집에서 먼저 한잔 했어요 조금 취했나 봐요 그대가 내 앞에 있는 것 같아 바보처럼 자꾸 눈물이 나요 술잔 속엔 눈물이 마음 속엔 그대가 흘러 넘치잖아  그대 가슴에 안겨 그대의 가슴에 쓰러져 그대의 가슴에 무너져 마음 놓고 울어보고 싶어요 늦게라도 와줘요 나 혼자 이렇게 울게 하지마 우린 항상 같이 있었으니까 사랑해요 사랑해요 사랑하기 싫어서 미치겠어
8,소주 한 잔,임창정,술이 한 잔 생각나는 밤 같이 있는 것 같아요 그 좋았던 시절들 이젠 모두 한숨만 되네요 떠나는 그대 얼굴이 혹시 울지나 않을까 나 먼저 돌아섰죠 그때부터 그리워요 사람이 변하는 걸요 다시 전보다 그댈 원해요 이렇게 취할때면 꺼져버린 전화를 붙잡고 여보세요 나야 거기 잘 지내니 여보세요 왜 말 안하니 울고 있니 내가 오랜만이라서 사랑하는 사람이라서 그대 소중한 마음 밀쳐낸 이기적인 그때의 나에게 그대를 다시 불러오라고 미친듯이 외쳤어 떠나는 그대 얼굴이 마치 처음과 같아서 나 눈물이 났어요 그때부터 그리워요 사람이 변하는 걸요 다시 전보다 그댈 원해요 이렇게 취할때면 바뀌어버린 전화번홀 누르고 여보세요 나야 거기 잘 지내니 오랜만이야 내 사랑아 그대를 다시 불러오라고 미친듯이 울었어 우 여보세요 나야 정말 미안해 이기적인 그때의 나에게 그대를 다시 불러오라고 미친듯이 외쳤어
9,이럴거면 그러지말지 (Feat. Young K),백아연,궁금해서 잠이 안 와 그때 왜 그랬어 구차해도 묻고 싶어 그때 난 뭐였어 나나나나 나나 나나 나만 애 탄거니 나나나나 나나 나나 난 진심인데 넌 그랬구나 그랬어 좋았는데 넌 아니었나 봐 그랬구나 그때 넌 그런 줄 모르고 나 혼자 이럴 거면 바래다주었던 그날 밤 넌 나를 안아주지 말았어야지 설렘에 밤잠 설치게 했던 그 말 그 말도 말았어야지 그러지는 말지 비겁하게 숨어버린 너를 돌아 올 거라고 믿은 내가 바보야 사랑스럽게 날 보던 네 눈빛에 빠졌던 내가 바보지 이럴 줄도 모르고 이렇게 돼 버린 이상 그냥 얘기할게 이미 떠나버린 니 맘 돌릴 순 없으니 그랬구나 그랬어 좋았는데 넌 아니었나 봐 그랬구나 그때 넌 네 생각 뿐인데 나 혼자 이럴 거면 바래다주었던 그날 밤 넌 나를 안아주지 말았어야지 설렘에 밤잠 설치게 했던 그 말 그 말도 말았어야지 이럴 줄은 몰랐어 어때 넌 어떻게 하고 싶니 지금 이 순간의 감정일지 중간에 금방 에러가 날것인지 I don’t know 하지만 내 생각엔 오래가진 못할 거 같아 너 아닌 나 때문에 이 관계는 이어지지 못해 잠 못 들어 아픈 이 새벽 잘 지내니 문자 한번쯤은 해주지 혹시나 하며 올린 우리 얘기에 좋아요 누르지 말지 괜히 기대 하게 바래다주던 그 날 밤처럼 돌아와서 포근하게 나를 안아줘 설렘에 밤잠 설치게 했던 말로 또 두근거리게 해줘 다시 날 녹여줘 이럴 거면 귀엽다고 하지 말지 그러지 말지 혼잣말만 늘어가네 전하지도 못할 말만
10,그녀를 사랑해줘요,하동균,잠깐 기다려줄래 지금 데리러 갈게 왜 자꾸 울기만 하니 말해 말해 어디에 있니 니가 사랑하는 사람이 너를 두고 간 거니 집으로 데려다 줄게 가자 가자 바람이 차가우니까 너를 울리는 그 사람이 뭐가 그렇게 좋으니 너는 모르지 너만 모르지 너를 사랑하는 내 맘을 걸음이 느린 내가 먼저 가지 못해서 내 자릴 뺏긴 아픈 사랑을 너의 웃는 모습이 누구 보다 예쁜지 그 사람 알기나 하니 정말 정말 알고도 너를 울리니 이름 모르는 당신에게 부탁 하나만 하는데 사랑해줘요 사랑해줘요 내가 사랑하는 그녀를 당신이 나 대신에 가진 나의 그녀를 함부로 다룰 생각하면 안 돼요 사랑해줘요 내 마음도 몰라주는 그녀를 그녀가 사랑하는 사람 당신이니까 나 보다 많이 사랑해줘요 다시는 울리지는 말아요
